date,tweet_count,weekday_name,weekday_num
2013-12-15,286,Sunday,6
2013-12-16,542,Monday,0
2013-12-17,563,Tuesday,1
2013-12-18,737,Wednesday,2
2013-12-19,1069,Thursday,3
2013-12-20,906,Friday,4
2013-12-21,670,Saturday,5
2013-12-22,782,Sunday,6
2013-12-23,915,Monday,0
2013-12-24,523,Tuesday,1
2013-12-25,465,Wednesday,2
2013-12-26,2167,Thursday,3
2013-12-27,997,Friday,4
2013-12-28,549,Saturday,5
2013-12-29,707,Sunday,6
2013-12-30,537,Monday,0
2013-12-31,431,Tuesday,1
2014-01-01,370,Wednesday,2
2014-01-02,589,Thursday,3
2014-01-03,552,Friday,4
2014-01-04,364,Saturday,5
2014-01-05,347,Sunday,6
2014-01-06,380,Monday,0
2014-01-07,351,Tuesday,1
2014-01-08,347,Wednesday,2
2014-01-09,413,Thursday,3
2014-01-10,395,Friday,4
2014-01-11,411,Saturday,5
2014-01-12,321,Sunday,6
2014-01-13,331,Monday,0
2014-01-14,653,Tuesday,1
2014-01-15,692,Wednesday,2
2014-01-16,450,Thursday,3
2014-01-17,678,Friday,4
2014-01-18,624,Saturday,5
2014-01-19,704,Sunday,6
2014-01-20,2601,Monday,0
2014-01-21,1820,Tuesday,1
2014-01-22,1123,Wednesday,2
2014-01-23,938,Thursday,3
2014-01-24,1071,Friday,4
2014-01-25,571,Saturday,5
2014-01-26,161,Sunday,6
2014-01-27,46,Monday,0
2014-01-28,240,Tuesday,1
2014-01-29,105,Wednesday,2
2014-01-30,34,Thursday,3
2014-01-31,63,Friday,4
2014-02-01,1502,Saturday,5
2014-02-02,946,Sunday,6
2014-02-03,881,Monday,0
2014-02-04,1722,Tuesday,1
2014-02-05,2097,Wednesday,2
2014-02-06,2064,Thursday,3
2014-02-07,2219,Friday,4
2014-02-08,1746,Saturday,5
2014-02-09,1707,Sunday,6
2014-02-10,1363,Monday,0
2014-02-11,277,Tuesday,1
2014-02-12,193,Wednesday,2
2014-02-13,110,Thursday,3
2014-02-14,268,Friday,4
2014-02-15,1836,Saturday,5
2014-02-17,2267,Monday,0
2014-02-18,1977,Tuesday,1
2014-02-19,1874,Wednesday,2
2014-02-20,1564,Thursday,3
2014-02-21,1742,Friday,4
2014-02-22,1225,Saturday,5
2014-02-23,1515,Sunday,6
2014-02-24,1623,Monday,0
2014-02-25,1867,Tuesday,1
2014-02-26,1880,Wednesday,2
2014-02-27,1674,Thursday,3
2014-02-28,1393,Friday,4
2014-03-01,1760,Saturday,5
2014-03-02,1259,Sunday,6
2014-03-03,1417,Monday,0
2014-03-04,1490,Tuesday,1
2014-03-05,1378,Wednesday,2
2014-03-06,1184,Thursday,3
2014-03-07,1288,Friday,4
2014-03-08,1070,Saturday,5
2014-03-09,1089,Sunday,6
2014-03-10,1407,Monday,0
2014-03-11,1413,Tuesday,1
2014-03-12,1381,Wednesday,2
2014-03-13,1272,Thursday,3
2014-03-14,1192,Friday,4
2014-03-15,1019,Saturday,5
2014-03-16,1378,Sunday,6
2014-03-17,1416,Monday,0
2014-03-18,1447,Tuesday,1
2014-03-19,1499,Wednesday,2
2014-03-20,1490,Thursday,3
2014-03-21,1160,Friday,4
2014-03-22,1221,Saturday,5
2014-03-23,562,Sunday,6
2014-03-24,1260,Monday,0
2014-03-25,1786,Tuesday,1
2014-03-26,2535,Wednesday,2
2014-03-27,2293,Thursday,3
2014-03-28,1629,Friday,4
2014-03-29,1301,Saturday,5
2014-03-30,1308,Sunday,6
2014-03-31,1564,Monday,0
2014-04-01,1548,Tuesday,1
2014-04-02,1318,Wednesday,2
2014-04-03,1804,Thursday,3
2014-04-04,1565,Friday,4
2014-04-05,1299,Saturday,5
2014-04-06,1218,Sunday,6
2014-04-07,1803,Monday,0
2014-04-08,1931,Tuesday,1
2014-04-09,1994,Wednesday,2
2014-04-10,1666,Thursday,3
2014-04-11,1484,Friday,4
2014-04-12,1138,Saturday,5
2014-04-13,1155,Sunday,6
2014-04-14,1320,Monday,0
2014-04-15,1865,Tuesday,1
2014-04-16,2830,Wednesday,2
2014-04-17,1766,Thursday,3
2014-04-18,1683,Friday,4
2014-04-19,1197,Saturday,5
2014-04-20,18,Sunday,6
2014-04-21,2389,Monday,0
2014-04-22,1142,Tuesday,1
2014-04-23,2176,Wednesday,2
2014-04-25,858,Friday,4
2014-04-26,339,Saturday,5
2014-04-27,78,Sunday,6
2014-04-28,921,Monday,0
2014-04-29,349,Tuesday,1
2014-04-30,306,Wednesday,2
2014-05-01,2514,Thursday,3
2014-05-02,2428,Friday,4
2014-05-03,51,Saturday,5
2014-05-04,917,Sunday,6
2014-05-05,513,Monday,0
2014-05-06,929,Tuesday,1
2014-05-07,55,Wednesday,2
2014-05-08,162,Thursday,3
2014-05-09,1307,Friday,4
2014-05-10,1524,Saturday,5
2014-05-11,1455,Sunday,6
2014-05-12,2953,Monday,0
2014-05-13,3522,Tuesday,1
2014-05-14,3166,Wednesday,2
2014-05-15,1800,Thursday,3
