date,tweet_count
2024-11-14,22489
2024-11-13,22356
2025-07-04,17435
2025-03-17,15926
2024-12-07,14549
2025-07-11,14296
2025-07-01,13663
2025-03-13,13396
2025-03-16,13127
2024-11-15,12981
2025-06-13,11816
2025-03-27,11812
2025-07-10,11502
2025-03-28,11291
2025-05-01,11239
2025-05-29,10614
2025-05-03,10553
2024-11-16,10459
2024-11-17,10391
2024-12-01,10378
2025-03-15,10193
2025-07-16,10055
2025-07-20,9868
2025-01-15,9587
2024-11-06,9213
2025-06-27,9156
2025-01-21,9134
2025-06-03,8985
2025-07-13,8939
2025-07-22,8693
2025-07-21,8644
2025-05-28,8615
2025-06-09,8352
2025-06-10,8289
2025-05-21,8121
2025-05-27,8120
2024-12-24,8103
2025-06-02,8102
2025-07-18,7825
2025-06-15,7674
2024-12-31,7668
2024-11-07,7646
2025-07-17,7604
2024-12-30,7594
2025-07-09,7555
2024-12-27,7345
2025-06-21,7339
2025-03-20,7305
2025-04-23,7239
2025-05-25,7228
2025-07-23,7208
2025-01-04,7195
2025-07-15,7113
2024-12-25,7092
2025-04-12,6911
2025-07-29,6907
2024-11-08,6865
2024-12-06,6793
2025-06-20,6792
2025-04-29,6775
2025-05-26,6640
2025-05-18,6600
2025-04-18,6389
2025-03-21,6389
2025-07-06,6165
2025-05-05,6080
2025-05-06,6073
2025-04-17,5934
2025-01-13,5780
2025-03-11,5664
2025-04-16,5650
2025-06-26,5576
2025-06-06,5571
2025-07-03,5562
2025-04-21,5552
2025-05-13,5525
2025-04-15,5440
2025-03-23,5330
2024-11-05,5152
2025-01-05,5149
2025-05-02,5098
2025-07-28,5097
2025-05-31,5065
2025-03-31,5042
2025-02-14,5037
2025-04-19,5028
2024-12-10,4872
2025-06-07,4824
2024-12-26,4804
2025-05-10,4577
2025-06-04,4498
2025-05-11,4474
2025-04-20,4426
2025-02-05,4404
2025-03-30,4275
2024-11-02,4171
2025-02-09,4069
2025-03-12,4013
2025-02-10,4005
2025-02-24,3992
2025-03-04,3991
2025-02-25,3979
2025-01-06,3961
2025-02-26,3882
2025-07-08,3869
2025-02-28,3844
2024-11-09,3764
2025-01-14,3658
2024-11-21,3475
2025-02-27,3474
2025-02-17,3402
2025-05-17,3318
2025-04-13,3287
2025-01-12,3275
2024-12-03,3255
2025-04-02,3128
2025-07-12,3072
2025-05-04,2919
2025-05-23,2916
2025-07-14,2915
2024-11-04,2840
2025-06-29,2836
2025-03-01,2611
2025-06-19,2572
2025-04-28,2560
2024-12-04,2557
2025-06-12,2538
2025-04-06,2397
2025-02-15,2380
2025-02-01,2305
2025-04-09,2291
2025-04-04,2262
2025-06-22,2187
2025-04-11,2142
2025-04-10,2101
2025-04-05,2090
2025-03-02,2069
2025-05-07,2049
2025-02-16,1983
2025-04-25,1962
2024-12-16,1949
2025-02-21,1940
2025-04-03,1886
2025-06-14,1865
2025-06-18,1848
2025-05-12,1440
2025-07-25,1371
2024-02-02,1369
2025-02-07,1323
2024-12-02,1300
2025-03-22,1240
2025-02-19,1194
2025-06-24,1172
2025-04-22,1147
2025-01-17,1133
2025-04-07,1115
2025-05-14,1111
2025-03-18,1075
2025-03-24,1003
2025-02-23,997
2025-03-05,970
2024-12-28,958
2025-01-28,918
2025-01-02,913
2025-03-14,906
2025-06-17,888
2025-04-27,800
2024-12-15,783
2025-01-30,774
2025-05-15,726
2025-02-18,692
2025-04-01,680
2025-02-04,672
2025-02-06,662
2024-11-19,650
2025-03-06,641
2025-07-30,624
2024-12-23,620
2024-02-07,582
2024-12-05,551
2024-12-08,534
2024-02-04,514
2024-02-08,480
2024-12-20,447
2025-05-30,442
2024-02-01,414
2024-12-22,407
2024-02-12,395
2025-01-07,386
2025-06-05,382
2025-05-19,380
2025-01-22,338
2025-03-29,335
2025-06-25,331
2024-03-02,318
2024-11-20,317
2025-05-20,297
2025-01-03,275
2024-11-22,267
2025-02-13,245
2025-04-26,193
2024-02-15,184
2024-02-09,183
2025-01-29,180
2025-01-09,168
2024-11-01,149
2025-06-16,145
2024-02-27,142
2025-01-24,136
2025-01-16,133
2025-02-11,124
2024-02-17,113
2024-11-23,113
2024-02-13,108
2024-03-09,77
2024-12-17,76
2025-01-26,67
2025-06-23,66
2024-12-14,63
2025-01-31,55
2025-01-25,49
2024-02-23,48
2024-12-09,45
2024-02-14,37
2025-01-19,27
2025-01-23,25
2024-03-01,20
2024-02-06,19
2024-02-28,18
2024-02-05,18
2024-03-04,17
2024-02-18,15
2024-02-16,12
2024-02-20,8
2024-02-25,6
2024-02-22,2
