date,total_tweets,positive,neutral,negative
20210701,8912,3720,4073,1119
20210702,8325,3743,3614,968
20210703,5257,2315,2337,605
20210704,5903,2534,2693,676
20210705,2505,1148,1046,311
20210706,4149,2030,1699,420
20210707,3783,1755,1657,371
20210708,3657,1723,1422,512
20210709,1403,658,585,160
20210710,4328,2446,1489,393
20210711,1607,572,872,163
20210712,1739,812,707,220
20210713,2665,1071,1287,307
20210714,2345,1016,988,341
20210715,4304,1813,1801,690
20210716,5150,2098,2285,767
20210717,5205,1952,2647,606
20210718,1131,441,544,146
20210719,2527,1057,1128,342
20210720,6791,2638,3085,1068
20210721,4871,1902,2505,464
20210722,1206,473,594,139
20210723,1204,478,604,122
20210724,452,167,241,44
20210725,853,342,424,87
20210726,7442,3056,3684,702
20210727,3432,1466,1621,345
20210728,1518,627,724,167
20210729,1714,711,829,174
20210730,560,227,266,67
20210731,172,81,76,15
