✅ DOGE_20190315_normal.json → 完成分類：👍 186 | 😐 132 | 👎 45
✅ DOGE_20190316_normal.json → 完成分類：👍 83 | 😐 99 | 👎 27
✅ DOGE_20190317_Latest131_normal.json → 完成分類：👍 57 | 😐 64 | 👎 10
✅ DOGE_20190318_normal.json → 完成分類：👍 130 | 😐 124 | 👎 19
✅ DOGE_20190319_Latest46_normal.json → 完成分類：👍 18 | 😐 26 | 👎 2
✅ DOGE_20190320_Latest436_normal.json → 完成分類：👍 208 | 😐 183 | 👎 45
✅ DOGE_20190321_normal.json → 完成分類：👍 112 | 😐 144 | 👎 24
✅ DOGE_20190322_normal.json → 完成分類：👍 124 | 😐 133 | 👎 19
✅ DOGE_20190323_normal.json → 完成分類：👍 99 | 😐 141 | 👎 14
✅ DOGE_20190324_normal.json → 完成分類：👍 81 | 😐 119 | 👎 9
✅ DOGE_20190325_normal.json → 完成分類：👍 93 | 😐 133 | 👎 19
✅ DOGE_20190326_normal.json → 完成分類：👍 101 | 😐 114 | 👎 20
✅ DOGE_20190327_normal.json → 完成分類：👍 168 | 😐 153 | 👎 18
✅ DOGE_20190328_normal.json → 完成分類：👍 186 | 😐 155 | 👎 19
✅ DOGE_20190329_normal.json → 完成分類：👍 145 | 😐 122 | 👎 26
✅ DOGE_20190330_normal.json → 完成分類：👍 90 | 😐 133 | 👎 15
✅ DOGE_20190331_normal.json → 完成分類：👍 83 | 😐 119 | 👎 14

✅ DOGE_20190401_normal.json → 完成分類：👍 334 | 😐 324 | 👎 82
✅ DOGE_20190402_Latest1349_normal.json → 完成分類：👍 599 | 😐 602 | 👎 130
✅ DOGE_20190403_normal.json → 完成分類：👍 713 | 😐 574 | 👎 126
✅ DOGE_20190404_normal.json → 完成分類：👍 471 | 😐 453 | 👎 90
✅ DOGE_20190405_normal.json → 完成分類：👍 278 | 😐 239 | 👎 47
✅ DOGE_20190406_normal.json → 完成分類：👍 135 | 😐 155 | 👎 25
✅ DOGE_20190407_normal.json → 完成分類：👍 185 | 😐 139 | 👎 20
✅ DOGE_20190408_normal.json → 完成分類：👍 147 | 😐 176 | 👎 28
✅ DOGE_20190409_normal.json → 完成分類：👍 180 | 😐 186 | 👎 49
✅ DOGE_20190410_normal.json → 完成分類：👍 170 | 😐 191 | 👎 27
✅ DOGE_20190411_normal.json → 完成分類：👍 119 | 😐 156 | 👎 23
✅ DOGE_20190412_normal.json → 完成分類：👍 108 | 😐 180 | 👎 29
✅ DOGE_20190413_normal.json → 完成分類：👍 95 | 😐 143 | 👎 17
✅ DOGE_20190414_normal.json → 完成分類：👍 95 | 😐 114 | 👎 14
✅ DOGE_20190415_normal.json → 完成分類：👍 116 | 😐 143 | 👎 18
✅ DOGE_20190416_normal.json → 完成分類：👍 117 | 😐 152 | 👎 48
✅ DOGE_20190417_normal.json → 完成分類：👍 121 | 😐 169 | 👎 36
✅ DOGE_20190418_normal.json → 完成分類：👍 174 | 😐 178 | 👎 26
✅ DOGE_20190419_normal.json → 完成分類：👍 84 | 😐 182 | 👎 28
✅ DOGE_20190420_normal.json → 完成分類：👍 87 | 😐 168 | 👎 45
✅ DOGE_20190421_normal.json → 完成分類：👍 98 | 😐 116 | 👎 25
✅ DOGE_20190422_normal.json → 完成分類：👍 134 | 😐 137 | 👎 32
✅ DOGE_20190423_normal.json → 完成分類：👍 117 | 😐 152 | 👎 40
✅ DOGE_20190424_normal.json → 完成分類：👍 137 | 😐 131 | 👎 27
✅ DOGE_20190425_normal.json → 完成分類：👍 137 | 😐 123 | 👎 22
