filename,date,isCompleteData,original_count,predicted_count,close_price
DOGE_20190315,3/15/2019,TRUE,363,363,0.002048304
DOGE_20190316,3/16/2019,TRUE,210,210,0.002077495
DOGE_20190317_Latest131,3/17/2019,FALSE,131,217,0.002080812
DOGE_20190318,3/18/2019,TRUE,273,273,0.002083029
DOGE_20190319_Latest46,3/19/2019,FALSE,46,211,0.002091069
DOGE_20190320_Latest436,3/20/2019,FALSE,436,515,0.002060782
DOGE_20190321,3/21/2019,TRUE,280,280,0.002053635
DOGE_20190322,3/22/2019,TRUE,276,276,0.002052297
DOGE_20190323,3/23/2019,TRUE,254,254,0.002064184
DOGE_20190324,3/24/2019,TRUE,209,209,0.00205367
DOGE_20190325,3/25/2019,TRUE,252,252,0.002043394
DOGE_20190326,3/26/2019,TRUE,235,235,0.002053978
DOGE_20190327,3/27/2019,TRUE,339,339,0.002084979
DOGE_20190328,3/28/2019,TRUE,361,361,0.002073671
DOGE_20190329,3/29/2019,TRUE,303,303,0.002087465
DOGE_20190330,3/30/2019,TRUE,238,238,0.002080473
DOGE_20190331,3/31/2019,TRUE,227,227,0.002080471
DOGE_20190401,4/1/2019,TRUE,767,767,0.002461133
DOGE_20190402_Latest1349,4/2/2019,FALSE,1349,2237,0.002794824
DOGE_20190403,4/3/2019,TRUE,1435,1435,0.003164354
DOGE_20190404,4/4/2019,TRUE,1041,1041,0.003697016
DOGE_20190405,4/5/2019,TRUE,585,585,0.003589633
DOGE_20190406,4/6/2019,TRUE,332,332,0.003439002
DOGE_20190407,4/7/2019,TRUE,378,378,0.00341757
DOGE_20190408,4/8/2019,TRUE,366,366,0.003044549
DOGE_20190409,4/9/2019,TRUE,427,427,0.002883921
DOGE_20190410,4/10/2019,TRUE,399,399,0.003021499
DOGE_20190411,4/11/2019,TRUE,311,311,0.002789189
DOGE_20190412,4/12/2019,TRUE,334,334,0.002855556
DOGE_20190413,4/13/2019,TRUE,272,272,0.002872341
DOGE_20190414,4/14/2019,TRUE,269,269,0.002881953
DOGE_20190415,4/15/2019,TRUE,304,304,0.002789931
DOGE_20190416,4/16/2019,TRUE,330,330,0.002835008
DOGE_20190417,4/17/2019,TRUE,350,350,0.002809786
DOGE_20190418,4/18/2019,TRUE,400,400,0.002945788
DOGE_20190419,4/19/2019,TRUE,313,313,0.002892813
DOGE_20190420,4/20/2019,TRUE,316,316,0.002901858
DOGE_20190421,4/21/2019,TRUE,246,246,0.002759581
DOGE_20190422,4/22/2019,TRUE,325,325,0.002798097
DOGE_20190423,4/23/2019,TRUE,333,333,0.002772467
DOGE_20190424,4/24/2019,TRUE,319,319,0.002599104
DOGE_20190425,4/25/2019,TRUE,300,300,0.002505726
DOGE_20190426,4/26/2019,TRUE,263,263,0.002519433
DOGE_20190427,4/27/2019,TRUE,251,251,0.002516163
DOGE_20190428,4/28/2019,TRUE,253,253,0.002531296
DOGE_20190429,4/29/2019,TRUE,278,278,0.00246641
DOGE_20190430,4/30/2019,TRUE,453,453,0.002512727
DOGE_20200101,1/1/2020,TRUE,137,137,0.002032614
DOGE_20200102_Latest32,1/2/2020,FALSE,32,255,0.002008643
