symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOGE/USD,2021-01-01 06:00:00+00:00,0.0049,0.0085,0.0048,0.0073,263634943.0,4223.0,0.0067398602
DOGE/USD,2021-01-02 06:00:00+00:00,0.0072,0.0141,0.0065,0.0121,1385366325.0,17634.0,0.0102853717
DOGE/USD,2021-01-03 06:00:00+00:00,0.0121,0.0139,0.0093,0.0101,580120603.0,9468.0,0.01142568
DOGE/USD,2021-01-04 06:00:00+00:00,0.0101,0.0104,0.0075,0.0091,278586047.0,4431.0,0.0094019357
DOGE/USD,2021-01-05 06:00:00+00:00,0.0091,0.0111,0.0089,0.0104,168183569.0,3113.0,0.0099123754
DOGE/USD,2021-01-06 06:00:00+00:00,0.0104,0.0108,0.0096,0.0101,165832675.0,3085.0,0.0102207976
DOGE/USD,2021-01-07 06:00:00+00:00,0.0101,0.0105,0.0086,0.0094,100706855.0,2223.0,0.0097483111
DOGE/USD,2021-01-08 06:00:00+00:00,0.0093,0.0104,0.0091,0.01,66694187.0,1805.0,0.0097972788
DOGE/USD,2021-01-09 06:00:00+00:00,0.01,0.0107,0.0097,0.0103,87249254.0,2090.0,0.0103115046
DOGE/USD,2021-01-10 06:00:00+00:00,0.0103,0.0109,0.0085,0.009,79481940.0,2142.0,0.0097157862
DOGE/USD,2021-01-11 06:00:00+00:00,0.009,0.0093,0.0066,0.0088,85461360.0,2117.0,0.0079605789
DOGE/USD,2021-01-12 06:00:00+00:00,0.0089,0.0092,0.0076,0.0079,49807056.0,1157.0,0.0081970542
DOGE/USD,2021-01-13 06:00:00+00:00,0.0079,0.0089,0.0078,0.0084,58371564.0,1105.0,0.0083915893
DOGE/USD,2021-01-14 06:00:00+00:00,0.0084,0.01,0.0083,0.0093,92609602.0,2037.0,0.0093170254
DOGE/USD,2021-01-15 06:00:00+00:00,0.0094,0.0099,0.0083,0.0092,53918127.0,1203.0,0.0092044202
DOGE/USD,2021-01-16 06:00:00+00:00,0.0093,0.0095,0.009,0.009,41574324.0,936.0,0.0092739473
DOGE/USD,2021-01-17 06:00:00+00:00,0.009,0.0094,0.0088,0.009,48830973.0,869.0,0.0090709152
DOGE/USD,2021-01-18 06:00:00+00:00,0.009,0.0094,0.0089,0.0093,37955605.0,792.0,0.0091756492
DOGE/USD,2021-01-19 06:00:00+00:00,0.0093,0.0096,0.0088,0.0091,32502902.0,947.0,0.0091807811
DOGE/USD,2021-01-20 06:00:00+00:00,0.0091,0.0092,0.0085,0.0089,21962784.0,787.0,0.0088935021
DOGE/USD,2021-01-21 06:00:00+00:00,0.0088,0.009,0.0076,0.0085,33784072.0,1029.0,0.008262442
DOGE/USD,2021-01-22 06:00:00+00:00,0.0085,0.0088,0.0081,0.0088,22770751.0,737.0,0.0085119258
DOGE/USD,2021-01-23 06:00:00+00:00,0.0088,0.0088,0.0083,0.0087,16454812.0,652.0,0.0086229137
DOGE/USD,2021-01-24 06:00:00+00:00,0.0087,0.0089,0.0085,0.0088,21261081.0,812.0,0.0087197151
DOGE/USD,2021-01-25 06:00:00+00:00,0.0087,0.0089,0.0082,0.0084,25478528.0,776.0,0.0085431529
DOGE/USD,2021-01-26 06:00:00+00:00,0.0084,0.0084,0.0079,0.0081,18777186.0,558.0,0.00816521
DOGE/USD,2021-01-27 06:00:00+00:00,0.0081,0.0148,0.0072,0.0123,381379318.0,6290.0,0.0118811304
DOGE/USD,2021-01-28 06:00:00+00:00,0.0124,0.0798,0.0101,0.0702,4227359718.0,100982.0,0.029762318
DOGE/USD,2021-01-29 06:00:00+00:00,0.0702,0.0736,0.0275,0.0318,4174779619.0,172322.0,0.0484103775
DOGE/USD,2021-01-30 06:00:00+00:00,0.0318,0.038,0.0222,0.0292,1597433713.0,58176.0,0.0292477123
DOGE/USD,2021-01-31 06:00:00+00:00,0.0292,0.049,0.0272,0.0409,2473843595.0,80892.0,0.0383440128
DOGE/USD,2021-02-01 06:00:00+00:00,0.0408,0.0439,0.0287,0.0335,1210643086.0,41283.0,0.0365916154
DOGE/USD,2021-02-02 06:00:00+00:00,0.0337,0.0353,0.0301,0.0324,517179701.0,19419.0,0.0322682837
DOGE/USD,2021-02-03 06:00:00+00:00,0.0324,0.0437,0.031,0.0395,1091508957.0,36178.0,0.0373931707
DOGE/USD,2021-02-04 06:00:00+00:00,0.0395,0.06,0.0395,0.0465,2899153409.0,103569.0,0.0494954767
DOGE/USD,2021-02-05 06:00:00+00:00,0.0465,0.0517,0.0432,0.0493,711505659.0,33434.0,0.0470801389
