
=== PEPE ===
2025-02-01 → 👍 1048  👎 269  📊 1317  👍比: 79.57%  👎比: 20.43%  多數: up | 真實: down ❌
2025-02-02 → 👍 310  👎 85  📊 395  👍比: 78.48%  👎比: 21.52%  多數: up | 真實: down ❌
2025-02-03 → 👍 496  👎 2010  📊 2506  👍比: 19.79%  👎比: 80.21%  多數: down | 真實: down ✅
2025-02-04 → 👍 294  👎 87  📊 381  👍比: 77.17%  👎比: 22.83%  多數: up | 真實: down ❌
2025-02-05 → 👍 443  👎 1690  📊 2133  👍比: 20.77%  👎比: 79.23%  多數: down | 真實: down ✅
2025-02-06 → 👍 287  👎 100  📊 387  👍比: 74.16%  👎比: 25.84%  多數: up | 真實: up ✅
2025-02-07 → 👍 614  👎 142  📊 756  👍比: 81.22%  👎比: 18.78%  多數: up | 真實: down ❌
2025-02-08 → 👍 1832  👎 502  📊 2334  👍比: 78.49%  👎比: 21.51%  多數: up | 真實: down ❌
2025-02-09 → 👍 460  👎 1603  📊 2063  👍比: 22.30%  👎比: 77.70%  多數: down | 真實: down ✅
2025-02-10 → 👍 364  👎 1671  📊 2035  👍比: 17.89%  👎比: 82.11%  多數: down | 真實: up ❌
2025-02-11 → 👍 53  👎 23  📊 76  👍比: 69.74%  👎比: 30.26%  多數: up | 真實: down ❌
2025-02-12 → 👍 1396  👎 378  📊 1774  👍比: 78.69%  👎比: 21.31%  多數: up | 真實: down ❌
2025-02-13 → 👍 141  👎 42  📊 183  👍比: 77.05%  👎比: 22.95%  多數: up | 真實: up ✅
2025-02-14 → 👍 2191  👎 601  📊 2792  👍比: 78.47%  👎比: 21.53%  多數: up | 真實: up ✅
2025-02-15 → 👍 437  👎 977  📊 1414  👍比: 30.91%  👎比: 69.09%  多數: down | 真實: down ✅
2025-02-16 → 👍 815  👎 214  📊 1029  👍比: 79.20%  👎比: 20.80%  多數: up | 真實: down ❌
2025-02-17 → 👍 1633  👎 461  📊 2094  👍比: 77.98%  👎比: 22.02%  多數: up | 真實: down ❌
2025-02-18 → 👍 299  👎 77  📊 376  👍比: 79.52%  👎比: 20.48%  多數: up | 真實: up ✅
2025-02-19 → 👍 529  👎 138  📊 667  👍比: 79.31%  👎比: 20.69%  多數: up | 真實: up ✅
2025-02-20 → 👍 552  👎 170  📊 722  👍比: 76.45%  👎比: 23.55%  多數: up | 真實: down ❌
