
=== PEPE ===
2025-02-01 → 👍 747  👎 570  📊 1317  👍比: 56.72%  👎比: 43.28%  多數: up | 真實: up ✅
2025-02-02 → 👍 233  👎 162  📊 395  👍比: 58.99%  👎比: 41.01%  多數: up | 真實: up ✅
2025-02-03 → 👍 1872  👎 634  📊 2506  👍比: 74.70%  👎比: 25.30%  多數: up | 真實: up ✅
2025-02-04 → 👍 212  👎 169  📊 381  👍比: 55.64%  👎比: 44.36%  多數: up | 真實: down ❌
2025-02-05 → 👍 1570  👎 563  📊 2133  👍比: 73.61%  👎比: 26.39%  多數: up | 真實: down ❌
2025-02-06 → 👍 192  👎 195  📊 387  👍比: 49.61%  👎比: 50.39%  多數: down | 真實: up ❌
2025-02-07 → 👍 409  👎 347  📊 756  👍比: 54.10%  👎比: 45.90%  多數: up | 真實: up ✅
2025-02-08 → 👍 1244  👎 1090  📊 2334  👍比: 53.30%  👎比: 46.70%  多數: up | 真實: up ✅
2025-02-09 → 👍 1528  👎 535  📊 2063  👍比: 74.07%  👎比: 25.93%  多數: up | 真實: down ❌
2025-02-10 → 👍 1495  👎 540  📊 2035  👍比: 73.46%  👎比: 26.54%  多數: up | 真實: up ✅
2025-02-11 → 👍 37  👎 39  📊 76  👍比: 48.68%  👎比: 51.32%  多數: down | 真實: down ✅
2025-02-12 → 👍 958  👎 816  📊 1774  👍比: 54.00%  👎比: 46.00%  多數: up | 真實: down ❌
2025-02-13 → 👍 87  👎 96  📊 183  👍比: 47.54%  👎比: 52.46%  多數: down | 真實: up ❌
2025-02-14 → 👍 1568  👎 1224  📊 2792  👍比: 56.16%  👎比: 43.84%  多數: up | 真實: down ❌
2025-02-15 → 👍 1117  👎 297  📊 1414  👍比: 79.00%  👎比: 21.00%  多數: up | 真實: down ❌
2025-02-16 → 👍 565  👎 464  📊 1029  👍比: 54.91%  👎比: 45.09%  多數: up | 真實: up ✅
2025-02-17 → 👍 1155  👎 939  📊 2094  👍比: 55.16%  👎比: 44.84%  多數: up | 真實: down ❌
2025-02-18 → 👍 218  👎 158  📊 376  👍比: 57.98%  👎比: 42.02%  多數: up | 真實: up ✅
2025-02-19 → 👍 376  👎 291  📊 667  👍比: 56.37%  👎比: 43.63%  多數: up | 真實: up ✅
2025-02-20 → 👍 383  👎 339  📊 722  👍比: 53.05%  👎比: 46.95%  多數: up | 真實: down ❌
2025-02-21 → 👍 918  👎 308  📊 1226  👍比: 74.88%  👎比: 25.12%  多數: up | 真實: down ❌
2025-02-22 → 👍 221  👎 179  📊 400  👍比: 55.25%  👎比: 44.75%  多數: up | 真實: up ✅
2025-02-23 → 👍 420  👎 293  📊 713  👍比: 58.91%  👎比: 41.09%  多數: up | 真實: up ✅
2025-02-24 → 👍 1109  👎 889  📊 1998  👍比: 55.51%  👎比: 44.49%  多數: up | 真實: up ✅
2025-02-25 → 👍 1160  👎 930  📊 2090  👍比: 55.50%  👎比: 44.50%  多數: up | 真實: down ❌
2025-02-26 → 👍 1095  👎 949  📊 2044  👍比: 53.57%  👎比: 46.43%  多數: up | 真實: down ❌
2025-02-27 → 👍 1356  👎 447  📊 1803  👍比: 75.21%  👎比: 24.79%  多數: up | 真實: down ❌
2025-02-28 → 👍 1167  👎 878  📊 2045  👍比: 57.07%  👎比: 42.93%  多數: up | 真實: down ❌
2025-03-01 → 👍 872  👎 330  📊 1202  👍比: 72.55%  👎比: 27.45%  多數: up | 真實: down ❌
2025-03-02 → 👍 617  👎 517  📊 1134  👍比: 54.41%  👎比: 45.59%  多數: up | 真實: down ❌
2025-03-03 → 👍 1055  👎 898  📊 1953  👍比: 54.02%  👎比: 45.98%  多數: up | 真實: up ✅
2025-03-04 → 👍 1051  👎 856  📊 1907  👍比: 55.11%  👎比: 44.89%  多數: up | 真實: down ❌
2025-03-05 → 👍 295  👎 228  📊 523  👍比: 56.41%  👎比: 43.59%  多數: up | 真實: down ❌
2025-03-06 → 👍 212  👎 190  📊 402  👍比: 52.74%  👎比: 47.26%  多數: up | 真實: up ✅
2025-03-07 → 👍 981  👎 831  📊 1812  👍比: 54.14%  👎比: 45.86%  多數: up | 真實: up ✅
2025-03-08 → 👍 861  👎 711  📊 1572  👍比: 54.77%  👎比: 45.23%  多數: up | 真實: up ✅
2025-03-09 → 👍 1083  👎 363  📊 1446  👍比: 74.90%  👎比: 25.10%  多數: up | 真實: down ❌
2025-03-10 → 👍 807  👎 655  📊 1462  👍比: 55.20%  👎比: 44.80%  多數: up | 真實: down ❌
2025-03-11 → 👍 2125  👎 1818  📊 3943  👍比: 53.89%  👎比: 46.11%  多數: up | 真實: up ✅
2025-03-12 → 👍 1066  👎 852  📊 1918  👍比: 55.58%  👎比: 44.42%  多數: up | 真實: down ❌
2025-03-13 → 👍 3545  👎 2846  📊 6391  👍比: 55.47%  👎比: 44.53%  多數: up | 真實: down ❌
2025-03-14 → 👍 304  👎 106  📊 410  👍比: 74.15%  👎比: 25.85%  多數: up | 真實: up ✅
2025-03-15 → 👍 2791  👎 2316  📊 5107  👍比: 54.65%  👎比: 45.35%  多數: up | 真實: up ✅
2025-03-16 → 👍 3666  👎 2974  📊 6640  👍比: 55.21%  👎比: 44.79%  多數: up | 真實: down ❌
