
=== PEPE ===
2025-02-01 → 👍 732  👎 585  📊 1317  👍比: 55.58%  👎比: 44.42%  多數: up | 真實: down ❌
2025-02-02 → 👍 229  👎 166  📊 395  👍比: 57.97%  👎比: 42.03%  多數: up | 真實: down ❌
2025-02-03 → 👍 1690  👎 816  📊 2506  👍比: 67.44%  👎比: 32.56%  多數: up | 真實: down ❌
2025-02-04 → 👍 200  👎 181  📊 381  👍比: 52.49%  👎比: 47.51%  多數: up | 真實: down ❌
2025-02-05 → 👍 1376  👎 757  📊 2133  👍比: 64.51%  👎比: 35.49%  多數: up | 真實: down ❌
2025-02-06 → 👍 199  👎 188  📊 387  👍比: 51.42%  👎比: 48.58%  多數: up | 真實: up ✅
2025-02-07 → 👍 393  👎 363  📊 756  👍比: 51.98%  👎比: 48.02%  多數: up | 真實: down ❌
2025-02-08 → 👍 1186  👎 1148  📊 2334  👍比: 50.81%  👎比: 49.19%  多數: up | 真實: down ❌
2025-02-09 → 👍 1311  👎 752  📊 2063  👍比: 63.55%  👎比: 36.45%  多數: up | 真實: down ❌
2025-02-10 → 👍 1334  👎 701  📊 2035  👍比: 65.55%  👎比: 34.45%  多數: up | 真實: up ✅
2025-02-11 → 👍 38  👎 38  📊 76  👍比: 50.00%  👎比: 50.00%  多數: up | 真實: down ❌
2025-02-12 → 👍 899  👎 875  📊 1774  👍比: 50.68%  👎比: 49.32%  多數: up | 真實: down ❌
2025-02-13 → 👍 99  👎 84  📊 183  👍比: 54.10%  👎比: 45.90%  多數: up | 真實: up ✅
2025-02-14 → 👍 1480  👎 1312  📊 2792  👍比: 53.01%  👎比: 46.99%  多數: up | 真實: up ✅
2025-02-15 → 👍 979  👎 435  📊 1414  👍比: 69.24%  👎比: 30.76%  多數: up | 真實: down ❌
2025-02-16 → 👍 529  👎 500  📊 1029  👍比: 51.41%  👎比: 48.59%  多數: up | 真實: down ❌
2025-02-17 → 👍 1079  👎 1015  📊 2094  👍比: 51.53%  👎比: 48.47%  多數: up | 真實: down ❌
2025-02-18 → 👍 194  👎 182  📊 376  👍比: 51.60%  👎比: 48.40%  多數: up | 真實: up ✅
2025-02-19 → 👍 350  👎 317  📊 667  👍比: 52.47%  👎比: 47.53%  多數: up | 真實: up ✅
2025-02-20 → 👍 386  👎 336  📊 722  👍比: 53.46%  👎比: 46.54%  多數: up | 真實: down ❌
2025-02-21 → 👍 771  👎 455  📊 1226  👍比: 62.89%  👎比: 37.11%  多數: up | 真實: down ❌
2025-02-22 → 👍 205  👎 195  📊 400  👍比: 51.25%  👎比: 48.75%  多數: up | 真實: up ✅
2025-02-23 → 👍 392  👎 321  📊 713  👍比: 54.98%  👎比: 45.02%  多數: up | 真實: up ✅
2025-02-24 → 👍 1038  👎 960  📊 1998  👍比: 51.95%  👎比: 48.05%  多數: up | 真實: up ✅
2025-02-25 → 👍 1112  👎 978  📊 2090  👍比: 53.21%  👎比: 46.79%  多數: up | 真實: down ❌
2025-02-26 → 👍 1102  👎 942  📊 2044  👍比: 53.91%  👎比: 46.09%  多數: up | 真實: down ❌
2025-02-27 → 👍 1174  👎 629  📊 1803  👍比: 65.11%  👎比: 34.89%  多數: up | 真實: down ❌
2025-02-28 → 👍 1093  👎 952  📊 2045  👍比: 53.45%  👎比: 46.55%  多數: up | 真實: up ✅
2025-03-01 → 👍 728  👎 474  📊 1202  👍比: 60.57%  👎比: 39.43%  多數: up | 真實: up ✅
2025-03-02 → 👍 604  👎 530  📊 1134  👍比: 53.26%  👎比: 46.74%  多數: up | 真實: down ❌
2025-03-03 → 👍 1004  👎 949  📊 1953  👍比: 51.41%  👎比: 48.59%  多數: up | 真實: up ✅
2025-03-04 → 👍 1011  👎 896  📊 1907  👍比: 53.02%  👎比: 46.98%  多數: up | 真實: down ❌
2025-03-05 → 👍 273  👎 250  📊 523  👍比: 52.20%  👎比: 47.80%  多數: up | 真實: down ❌
2025-03-06 → 👍 202  👎 200  📊 402  👍比: 50.25%  👎比: 49.75%  多數: up | 真實: up ✅
2025-03-07 → 👍 910  👎 902  📊 1812  👍比: 50.22%  👎比: 49.78%  多數: up | 真實: down ❌
2025-03-08 → 👍 847  👎 725  📊 1572  👍比: 53.88%  👎比: 46.12%  多數: up | 真實: up ✅
2025-03-09 → 👍 982  👎 464  📊 1446  👍比: 67.91%  👎比: 32.09%  多數: up | 真實: down ❌
2025-03-10 → 👍 781  👎 681  📊 1462  👍比: 53.42%  👎比: 46.58%  多數: up | 真實: down ❌
2025-03-11 → 👍 2047  👎 1896  📊 3943  👍比: 51.91%  👎比: 48.09%  多數: up | 真實: up ✅
2025-03-12 → 👍 997  👎 921  📊 1918  👍比: 51.98%  👎比: 48.02%  多數: up | 真實: down ❌
2025-03-13 → 👍 3390  👎 3001  📊 6391  👍比: 53.04%  👎比: 46.96%  多數: up | 真實: up ✅
2025-03-14 → 👍 271  👎 139  📊 410  👍比: 66.10%  👎比: 33.90%  多數: up | 真實: up ✅
2025-03-15 → 👍 2688  👎 2419  📊 5107  👍比: 52.63%  👎比: 47.37%  多數: up | 真實: down ❌
2025-03-16 → 👍 3510  👎 3130  📊 6640  👍比: 52.86%  👎比: 47.14%  多數: up | 真實: down ❌
2025-03-17 → 👍 4627  👎 4037  📊 8664  👍比: 53.40%  👎比: 46.60%  多數: up | 真實: up ✅
2025-03-18 → 👍 250  👎 263  📊 513  👍比: 48.73%  👎比: 51.27%  多數: down | 真實: down ✅
2025-03-19 → 👍 1192  👎 549  📊 1741  👍比: 68.47%  👎比: 31.53%  多數: up | 真實: up ✅
2025-03-20 → 👍 4025  👎 1509  📊 5534  👍比: 72.73%  👎比: 27.27%  多數: up | 真實: down ❌
2025-03-21 → 👍 1587  👎 1395  📊 2982  👍比: 53.22%  👎比: 46.78%  多數: up | 真實: up ✅
2025-03-22 → 👍 251  👎 250  📊 501  👍比: 50.10%  👎比: 49.90%  多數: up | 真實: down ❌
2025-03-23 → 👍 2823  👎 1137  📊 3960  👍比: 71.29%  👎比: 28.71%  多數: up | 真實: up ✅
2025-03-24 → 👍 290  👎 264  📊 554  👍比: 52.35%  👎比: 47.65%  多數: up | 真實: up ✅
2025-03-25 → 👍 1155  👎 1095  📊 2250  👍比: 51.33%  👎比: 48.67%  多數: up | 真實: up ✅
2025-03-26 → 👍 3419  👎 3140  📊 6559  👍比: 52.13%  👎比: 47.87%  多數: up | 真實: down ❌
2025-03-27 → 👍 3168  👎 2888  📊 6056  👍比: 52.31%  👎比: 47.69%  多數: up | 真實: down ❌
2025-03-28 → 👍 2944  👎 2489  📊 5433  👍比: 54.19%  👎比: 45.81%  多數: up | 真實: up ✅
2025-03-29 → 👍 76  👎 81  📊 157  👍比: 48.41%  👎比: 51.59%  多數: down | 真實: up ❌
