Date,EMA_12,EMA_26,MACD,Signal,RSI
2013-12-28,2.412717464307556e-06,2.401965079447151e-06,1.0752384860405089e-08,-3.154923484030069e-08,49.43829092206758
2013-12-29,2.330013991200423e-06,2.3629413616444873e-06,-3.2927370444064335e-08,-3.182486196105342e-08,46.99759514037318
2013-12-30,2.279529463073891e-06,2.336194931772893e-06,-5.666546869900199e-08,-3.679298330864314e-08,53.15225990570349
2013-12-31,2.2366168951849944e-06,2.3113358828857205e-06,-7.471898770072606e-08,-4.437818418705973e-08,55.16025310032004
2014-01-01,2.1940816907783277e-06,2.2853212298231976e-06,-9.123953904486991e-08,-5.3750455158621767e-08,53.868120592932875
2014-01-02,2.1023671773378186e-06,2.2344039056448142e-06,-1.3203672830699566e-07,-6.940770978829654e-08,46.84429786407353
2014-01-03,2.000492444346093e-06,2.175572609885317e-06,-1.7508016553922432e-07,-9.05422009384821e-08,27.45583280394348
2014-01-04,1.8911696136863703e-06,2.109966790268471e-06,-2.187971765821008e-07,-1.1619319606720584e-07,42.054207073236824
2014-01-05,1.7905812401715775e-06,2.045328152903415e-06,-2.547469127318375e-07,-1.4390393940013218e-07,42.99169271546527
2014-01-06,1.69257580113155e-06,1.9792702072373398e-06,-2.8669440610578973e-07,-1.724620327412637e-07,45.72384169593325
2014-01-07,1.593838176733489e-06,1.9104932468896963e-06,-3.166550701562074e-07,-2.0130064022425245e-07,5.1813346002999765
2014-01-08,1.4945420017101878e-06,1.8392280463113509e-06,-3.4468604460116305e-07,-2.2997772109963457e-07,6.480003541876869
2014-01-09,1.438897619905269e-06,1.7869040073237112e-06,-3.480063874184422e-07,-2.535834543633961e-07,15.343909399366325
2014-01-10,1.3896350673450709e-06,1.7374067496155832e-06,-3.477716822705123e-07,-2.7242109994481937e-07,15.695319790560504
2014-01-11,1.4297954566236541e-06,1.7309823679889371e-06,-3.01186911365283e-07,-2.781742622289121e-07,34.239637305699475
2014-01-12,1.4630622595530465e-06,1.72468957596492e-06,-2.6162731641187353e-07,-2.748648730655044e-07,44.0191558302525
2014-01-13,1.469384787631656e-06,1.7083539549352227e-06,-2.389691673035667e-07,-2.676857319131169e-07,37.10980557843778
2014-01-14,1.4447046965468538e-06,1.67876952831635e-06,-2.340648317694962e-07,-2.6096155188439276e-07,33.72234436162796
2014-01-15,1.4677777049604057e-06,1.6725406189029124e-06,-2.0476291394250666e-07,-2.4972182429601556e-07,42.289062334750525
2014-01-16,1.533009091238463e-06,1.6887807001521617e-06,-1.5577160891369866e-07,-2.3093178121955218e-07,56.3750467117868
2014-01-17,1.5722266838474271e-06,1.6961246070443519e-06,-1.2389792319692476e-07,-2.095250096150267e-07,57.72503558174895
2014-01-18,1.6310136300880552e-06,1.715251809071549e-06,-8.423817898349374e-08,-1.8446764348872013e-07,64.65556924697421
2014-01-19,1.79068294054227e-06,1.7858897601062826e-06,4.793180435987525e-09,-1.466154787037786e-07,74.43822978008387
2014-01-20,2.058618762389145e-06,1.91525094695374e-06,1.43367815435405e-07,-8.861881987594189e-08,82.07158488678854
2014-01-21,3.0236690661774557e-06,2.39052463510629e-06,6.331444310711659e-07,5.5733830313479674e-08,93.3121818535701
2014-01-22,3.8214270599617445e-06,2.821529923303997e-06,9.998971366577475e-07,2.4456649158233325e-07,93.0908701479508
2014-01-23,4.31441995904256e-06,3.132963329280519e-06,1.181456629762041e-06,4.3194451921827485e-07,81.267305016049
2014-01-24,4.81971707442892e-06,3.4637698388933617e-06,1.3559472355355585e-06,6.167450624817316e-07,82.45781891783076
2014-01-25,5.3477077413626695e-06,3.8184281033826155e-06,1.529279637980054e-06,7.992519775813961e-07,82.66759517009834
2014-01-26,5.765628123079426e-06,4.132929001096614e-06,1.6326991219828125e-06,9.659414064616795e-07,81.19831232600956
2014-01-27,6.019207066378501e-06,4.375963242091191e-06,1.6432438242873097e-06,1.1014018900268057e-06,77.37381821988751
2014-01-28,6.03392723981567e-06,4.504772497767407e-06,1.5291547420482631e-06,1.1869524604310972e-06,70.19583182376284
2014-01-29,6.079072454812685e-06,4.6397798043991745e-06,1.4392926504135106e-06,1.23742049842758e-06,70.01125605817543
2014-01-30,6.177765342406994e-06,4.793912872530769e-06,1.383852469876225e-06,1.2667068927173089e-06,70.2530104501408
2014-01-31,6.303393434810137e-06,4.956908062937928e-06,1.3464853718722094e-06,1.282662588548289e-06,71.53000367449617
2014-02-01,6.395813456372234e-06,5.101146249013916e-06,1.2946672073583185e-06,1.285063512310295e-06,70.59851997038726
2014-02-02,6.403384825958088e-06,5.200692997878091e-06,1.2026918280799971e-06,1.2685891754642355e-06,66.05583864530254
2014-02-03,6.3536517626586486e-06,5.265835732443546e-06,1.0878160302151022e-06,1.2324345464144088e-06,61.312758623759436
2014-02-04,6.1634603653461625e-06,5.2548410619016164e-06,9.086193034445461e-07,1.1676714978204364e-06,28.355213492662628
2014-02-05,6.1353630078743e-06,5.308617838188834e-06,8.267451696854656e-07,1.0994862321934423e-06,36.35572222594255
2014-02-06,6.109989940369474e-06,5.357641558996546e-06,7.523483813729287e-07,1.0300586620293396e-06,42.45330970037405
2014-02-07,5.957116726685507e-06,5.339765447324482e-06,6.173512793610251e-07,9.475171854956767e-07,32.93532462976421
2014-02-08,5.834485481305137e-06,5.326450498019936e-06,5.080349832852007e-07,8.596207450535816e-07,26.80618893621677
2014-02-09,5.788865174120033e-06,5.342117385914901e-06,4.467477882051315e-07,7.770461536838916e-07,31.57450429071862
2014-02-10,5.734966594760229e-06,5.349258646830932e-06,3.857079479292973e-07,6.987785125329728e-07,34.33343934312478
2014-02-11,5.9863013289361335e-06,5.498842626095574e-06,4.874587028405594e-07,6.565145505944901e-07,59.03864600990788
2014-02-12,6.387241568554865e-06,5.727995978715005e-06,6.592455898398599e-07,6.570607584435641e-07,64.25126867169357
2014-02-13,6.637718477046696e-06,5.8974289783473576e-06,7.402894986993385e-07,6.73706506494719e-07,57.962226083057786
2014-02-14,6.750021087006863e-06,6.0063368645281304e-06,7.436842224787328e-07,6.877020496915217e-07,52.194925924933685
2014-02-15,6.73712064226143e-06,6.055213259463939e-06,6.819073827974909e-07,6.865431163127156e-07,48.694826293426644
2014-02-16,6.702909187843926e-06,6.089252735692363e-06,6.136564521515636e-07,6.719657834804852e-07,50.395761984086754
