date,tweet_count
2013-12-15,268
2013-12-17,531
2013-12-18,685
2013-12-20,822
2013-12-21,609
2013-12-22,707
2013-12-23,870
2013-12-24,500
2013-12-25,454
2013-12-26,2095
2013-12-27,958
2013-12-28,526
2013-12-29,676
2013-12-30,521
2013-12-31,395
2014-01-01,361
2014-01-02,565
2014-01-03,514
2014-01-05,327
2014-01-06,354
2014-01-07,330
2014-01-08,339
2014-01-09,397
2014-01-11,390
2014-01-12,308
2014-01-13,325
2014-01-14,618
2014-01-16,429
2014-01-17,651
2014-01-20,2500
2014-01-22,1052
2014-01-23,887
2014-01-24,1000
2014-01-25,556
2014-01-26,150
2014-01-28,225
2014-01-29,98
2014-01-30,28
2014-01-31,61
2014-02-01,1455
2014-02-02,906
2014-02-04,1663
2014-02-05,2052
2014-02-07,2185
2014-02-08,1720
2014-02-09,1687
2014-02-10,1334
2014-02-11,271
2014-02-12,188
2014-02-13,104
2014-02-14,263
2014-02-15,1800
2014-02-17,2217
2014-02-19,1821
2014-02-21,1706
2014-02-22,1195
2014-02-23,1480
2014-02-24,1602
2014-02-25,1810
2014-02-26,1849
2014-02-27,1618
2014-02-28,1358
2014-03-01,1739
2014-03-02,1244
2014-03-04,1467
2014-03-05,1345
2014-03-06,1160
2014-03-07,1266
2014-03-08,1050
2014-03-09,1072
2014-03-10,1363
2014-03-11,1341
2014-03-12,1317
2014-03-13,1229
2014-03-14,1166
2014-03-15,1000
2014-03-16,1326
2014-03-17,1390
2014-03-18,1391
2014-03-19,1456
2014-03-20,1431
2014-03-22,1192
2014-03-23,555
2014-03-25,1717
2014-03-26,2302
2014-03-27,2187
2014-03-28,1549
2014-03-30,1282
2014-03-31,1487
2014-04-01,1516
2014-04-02,1295
2014-04-04,1543
2014-04-05,1271
2014-04-08,1898
2014-04-09,1936
2014-04-10,1641
2014-04-11,1453
2014-04-12,1114
2014-04-13,1126
2014-04-14,1293
2014-04-15,1801
2014-04-16,2771
2014-04-17,1722
2014-04-18,1640
2014-04-19,1165
2014-04-20,18
2014-04-21,2301
2014-04-23,2049
2014-04-25,821
2014-04-28,879
2014-04-29,313
2014-04-30,289
2014-05-01,2350
2014-05-02,2269
2014-05-03,48
2014-05-04,868
2014-05-05,424
2014-05-06,869
2014-05-07,53
2014-05-08,151
2014-05-09,1209
2014-05-10,1404
2014-05-11,1349
2014-05-13,3270
2014-05-14,2955
2014-05-19,2250
2014-05-21,2536
2014-05-24,1859
2014-05-25,1446
2014-05-26,1446
2014-05-27,2869
2014-05-28,2041
2014-05-29,1887
2014-05-30,1762
2014-05-31,1345
2014-07-01,1683
2014-07-02,406
2014-07-03,1303
2014-07-04,1100
2014-07-05,871
2014-07-06,806
2014-07-07,1671
2014-07-08,1555
2014-07-09,1559
2014-07-10,1330
2014-07-11,1359
2014-07-12,860
2014-07-13,679
2014-07-14,1401
2014-07-15,1623
2014-07-17,1406
2014-07-19,810
2014-07-22,1028
2014-07-23,1412
2014-07-24,1388
2014-07-26,779
2014-07-27,551
2014-07-28,1282
2014-07-29,1037
2014-07-30,1333
2014-07-31,1180
2014-08-02,711
2014-08-03,828
2014-08-07,1350
2014-08-08,1286
2014-08-09,744
2014-08-12,1344
2014-08-13,1386
2014-08-14,1653
2014-08-15,1409
2014-08-16,747
2014-08-17,647
2014-08-18,1256
2014-08-19,1515
2014-08-20,1550
2014-08-21,1470
2014-08-22,1410
2014-08-24,806
2014-08-25,1504
2014-08-26,1632
2014-08-27,694
2014-08-28,637
2014-08-29,480
2014-08-30,447
2014-08-31,570
2014-09-01,606
2014-09-03,960
2014-09-04,1981
2014-09-05,1671
2014-09-06,1170
2014-09-07,856
2014-09-08,1433
2014-09-09,1535
2014-09-10,1524
2014-09-11,1729
2014-09-12,1628
2014-09-13,1054
2014-09-15,1703
2014-09-16,1503
2014-09-17,1618
2014-09-20,873
2014-09-22,1508
2014-09-23,1669
2014-09-24,240
2014-09-27,955
2014-09-28,976
2014-09-29,1457
2014-09-30,1554
