date,tweet_count
2013-12-15,255
2013-12-16,468
2013-12-17,492
2013-12-18,617
2013-12-19,879
2013-12-20,744
2013-12-21,561
2013-12-22,662
2013-12-23,819
2013-12-24,457
2013-12-25,405
2013-12-26,1935
2013-12-27,858
2013-12-28,480
2013-12-29,604
2013-12-30,470
2013-12-31,351
2014-01-01,313
2014-01-02,505
2014-01-03,440
2014-01-04,296
2014-01-05,286
2014-01-06,317
2014-01-07,278
2014-01-08,293
2014-01-09,349
2014-01-10,321
2014-01-11,328
2014-01-13,293
2014-01-18,527
2014-01-19,613
2014-01-20,2350
2014-01-21,1623
2014-01-22,982
2014-01-23,824
2014-01-24,902
2014-01-25,521
2014-01-26,131
2014-01-28,213
2014-01-29,86
2014-01-30,32
2014-01-31,59
2014-02-01,1389
2014-02-02,840
2014-02-03,778
2014-02-04,1594
2014-02-05,1996
2014-02-07,2106
2014-02-09,1620
2014-02-10,1274
2014-02-11,256
2014-02-12,177
2014-02-13,103
2014-02-14,262
2014-02-15,1751
2014-02-17,2149
2014-02-23,1437
2014-02-24,1536
2014-02-25,1735
2014-02-26,1762
2014-02-27,1547
2014-02-28,1304
2014-03-01,1693
2014-03-02,1191
2014-03-03,1315
2014-03-04,1396
2014-03-05,1288
2014-03-06,1107
2014-03-07,1198
2014-03-08,1009
2014-03-09,1032
2014-03-10,1318
2014-03-11,1335
2014-03-12,1286
2014-03-13,1183
2014-03-14,1128
2014-03-15,960
2014-03-16,1272
2014-03-17,1333
2014-03-18,1344
2014-03-19,1386
2014-03-20,1334
2014-03-21,1084
2014-03-22,1158
2014-03-29,1196
2014-03-30,1200
2014-03-31,1404
2014-04-01,1398
2014-04-02,1230
2014-04-04,1470
2014-04-05,1218
2014-04-06,1096
2014-04-07,1650
2014-04-08,1828
2014-04-09,1882
2014-04-10,1569
2014-04-11,1382
2014-04-12,1056
2014-04-13,1067
2014-04-14,1215
2014-04-15,1392
2014-04-16,1626
2014-04-17,1246
2014-04-18,1256
2014-04-19,752
2014-04-20,10
2014-04-21,1064
2014-04-22,719
2014-04-23,1399
2014-04-25,386
2014-04-26,208
2014-05-04,789
2014-05-05,410
2014-05-06,511
2014-05-07,48
2014-05-08,123
2014-05-09,855
2014-05-10,1166
2014-05-11,1196
2014-05-12,2363
2014-05-13,2793
2014-05-14,2224
2014-05-15,1255
2014-05-17,3288
2014-05-18,1885
2014-05-19,1853
2014-05-20,2010
2014-05-21,2131
2014-05-22,1972
2014-05-23,1967
2014-05-24,1026
2014-05-25,1171
2014-05-26,1232
2014-05-27,1733
2014-05-28,1601
2014-05-29,1513
2014-05-30,1518
2014-05-31,1149
2014-07-01,1568
2014-07-03,1213
2014-07-06,721
2014-07-07,1555
2014-07-08,1464
2014-07-09,1452
2014-07-10,1216
2014-07-11,1266
2014-07-12,767
2014-07-13,595
2014-07-14,1293
2014-07-15,1482
2014-07-16,1366
2014-07-17,1289
2014-07-18,1252
2014-07-19,720
2014-07-20,736
2014-07-21,1200
2014-07-22,912
2014-07-23,1301
2014-07-24,1267
2014-07-25,1439
2014-07-26,679
2014-07-27,468
2014-07-28,1176
2014-07-29,950
2014-07-30,1254
2014-07-31,1065
2014-08-01,958
2014-08-02,637
2014-08-04,1317
2014-08-06,1203
2014-08-07,1253
2014-08-08,1178
2014-08-09,651
2014-08-10,658
2014-08-11,1251
2014-08-12,1216
2014-08-13,1260
2014-08-14,1498
2014-08-15,1284
2014-08-16,657
2014-08-17,549
2014-08-18,1165
2014-08-19,1378
2014-08-20,1425
2014-08-21,1367
2014-08-22,1312
2014-08-23,591
2014-08-24,698
2014-08-25,1387
2014-08-26,1496
2014-08-27,609
2014-08-28,547
2014-08-29,390
2014-08-30,361
2014-08-31,478
2014-09-01,512
2014-09-02,378
2014-09-03,855
2014-09-05,1536
2014-09-06,1062
2014-09-11,1615
2014-09-13,931
2014-09-14,1293
2014-09-15,1528
2014-09-16,1379
2014-09-17,1499
2014-09-19,1397
2014-09-20,777
2014-09-21,758
2014-09-22,1379
2014-09-23,1548
2014-09-24,222
2014-09-25,1579
2014-09-26,1894
2014-09-27,867
2014-09-28,876
2014-09-29,1328
2014-09-30,1415
2014-10-01,1304
2014-10-02,1343
2014-10-03,1282
2014-10-04,717
2014-10-05,727
2014-10-06,1452
2014-10-07,1080
2014-10-08,1260
2014-10-09,1329
2014-10-10,1261
2014-10-11,670
2014-10-18,683
2014-10-19,827
2014-10-20,1265
2014-10-21,1376
2014-10-22,1860
2014-10-23,1443
2014-10-24,1274
2014-10-25,612
2014-10-26,673
2014-10-27,130
2014-10-28,1539
2014-10-29,1706
2014-10-30,1447
2014-10-31,1036
2015-11-01,362
2015-11-02,247
2015-11-04,83
2015-11-06,1071
2015-11-07,232
2015-11-08,65
2015-11-09,1122
2015-11-10,1074
2015-11-11,834
2015-11-12,1054
2015-11-13,990
2015-11-14,454
2015-11-22,325
2015-11-23,814
2015-11-24,1195
2015-11-25,1046
2015-11-26,472
2015-11-27,469
