date,tweet_count
2013-12-15,257
2013-12-16,493
2013-12-17,523
2013-12-18,669
2013-12-19,950
2013-12-20,792
2013-12-21,598
2013-12-22,690
2013-12-23,858
2013-12-24,471
2013-12-25,441
2013-12-26,2053
2013-12-27,919
2013-12-28,512
2013-12-29,659
2013-12-30,516
2013-12-31,388
2014-01-01,353
2014-01-02,556
2014-01-03,507
2014-01-04,337
2014-01-05,321
2014-01-06,350
2014-01-07,326
2014-01-08,331
2014-01-09,391
2014-01-10,367
2014-01-11,375
2014-01-18,580
2014-01-19,674
2014-01-20,2468
2014-01-21,1717
2014-01-22,1038
2014-01-23,871
2014-01-24,969
2014-01-25,543
2014-01-26,148
2014-01-27,40
2014-01-28,224
2014-01-29,95
2014-01-30,31
2014-01-31,62
2014-02-01,1450
2014-02-02,890
2014-02-03,819
2014-02-04,1645
2014-02-05,2034
2014-02-06,2009
2014-02-07,2144
2014-02-09,1673
2014-02-10,1325
2014-02-11,269
2014-02-13,105
2014-02-14,259
2014-02-15,1779
2014-02-23,1470
2014-02-24,1581
2014-02-25,1777
2014-02-26,1828
2014-02-27,1596
2014-02-28,1341
2014-03-01,1729
2014-03-02,1235
2014-03-03,1375
2014-03-04,1453
2014-03-05,1332
2014-03-06,1145
2014-03-07,1253
2014-03-08,1046
2014-03-09,1065
2014-03-10,1364
2014-03-11,1370
2014-03-12,1327
2014-03-13,1224
2014-03-14,1154
2014-03-15,991
2014-03-16,1316
2014-03-17,1389
2014-03-18,1378
2014-03-19,1422
2014-03-20,1428
2014-03-21,1120
2014-03-22,1189
2014-03-30,1234
2014-03-31,1444
2014-04-01,1439
2014-04-02,1261
2014-04-04,1516
2014-04-05,1250
2014-04-06,1125
2014-04-07,1708
2014-04-08,1863
2014-04-09,1926
2014-04-10,1608
2014-04-11,1420
2014-04-12,1084
2014-04-13,1101
2014-04-14,1250
2014-04-15,1774
2014-04-16,2760
2014-04-17,1711
2014-04-18,1627
2014-04-19,1157
2014-04-20,18
2014-04-21,2278
2014-04-22,1050
2014-04-23,2012
2014-04-25,803
2014-04-26,325
2014-05-04,846
2014-05-05,415
2014-05-06,869
2014-05-07,53
2014-05-08,148
2014-05-09,1171
2014-05-10,1376
2014-05-11,1325
2014-05-12,2711
2014-05-13,3276
2014-05-14,2918
2014-05-15,1669
2014-05-17,3441
2014-05-18,2153
2014-05-19,2216
2014-05-20,2619
2014-05-21,2510
2014-05-22,2332
2014-05-23,2259
2014-05-24,1838
2014-05-25,1422
2014-05-26,1413
2014-05-27,2848
2014-05-28,2014
2014-05-30,1715
2014-05-31,1330
2014-07-01,1643
2014-07-03,1288
2014-07-06,790
2014-07-07,1640
2014-07-08,1527
2014-07-09,1530
2014-07-10,1293
2014-07-11,1346
2014-07-12,847
2014-07-13,676
2014-07-14,1378
2014-07-15,1575
2014-07-16,1443
2014-07-17,1366
2014-07-18,1332
2014-07-19,786
2014-07-20,807
2014-07-21,1270
2014-07-22,991
2014-07-23,1371
2014-07-24,1354
2014-07-25,1536
2014-07-26,755
2014-07-27,532
2014-07-28,1244
2014-07-29,1017
2014-07-30,1309
2014-07-31,1141
2014-08-01,1030
2014-08-02,704
2014-08-06,1265
2014-08-07,1320
2014-08-08,1234
2014-08-10,740
2014-08-11,1343
2014-08-12,1305
2014-08-13,1345
2014-08-14,1589
2014-08-15,1359
2014-08-16,739
2014-08-17,626
2014-08-18,1231
2014-08-19,1454
2014-08-20,1503
2014-08-21,1443
2014-08-22,1392
2014-08-23,677
2014-08-24,781
2014-08-25,1464
2014-08-26,1579
2014-08-27,689
2014-08-28,628
2014-08-29,476
2014-08-30,438
2014-08-31,558
2014-09-01,599
2014-09-02,467
2014-09-03,933
2014-09-05,1643
2014-09-06,1140
2014-09-11,1702
2014-09-13,1031
2014-09-14,1408
2014-09-15,1654
2014-09-16,1447
2014-09-17,1578
2014-09-18,1787
2014-09-19,1478
2014-09-20,860
2014-09-21,843
2014-09-22,1453
2014-09-23,1634
2014-09-24,230
2014-09-25,1630
2014-09-26,1955
2014-09-27,934
2014-09-28,955
2014-09-29,1422
2014-09-30,1499
