coin,date,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
DOGE,2013-12-28,0,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,-0.00013002900000000004,-0.18270352145725555,0.00038191,1.1580610338888484,2.412717464307556e-06,2.401965079447151e-06,1.0752384860405089e-08,-3.154923484030069e-08,49.43829092206758
DOGE,2013-12-29,4,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,-0.00013002900000000004,-0.18270352145725555,2.330013991200423e-06,2.3629413616444873e-06,-3.2927370444064335e-08,-3.182486196105342e-08,46.99759514037318
DOGE,2013-12-30,2,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,-2.459700000000001e-05,-0.042287227184032064,2.279529463073891e-06,2.336194931772893e-06,-5.666546869900199e-08,-3.679298330864314e-08,53.15225990570349
DOGE,2013-12-31,1,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,-1.3071999999999932e-05,-0.023465716932223595,2.2366168951849944e-06,2.3113358828857205e-06,-7.471898770072606e-08,-4.437818418705973e-08,55.16025310032004
DOGE,2014-01-01,0,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,-1.1412000000000032e-05,-0.020978095427172317,2.1940816907783277e-06,2.2853212298231976e-06,-9.123953904486991e-08,-5.3750455158621767e-08,53.868120592932875
DOGE,2014-01-02,0,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,-0.000121078,-0.22734066363240352,2.1023671773378186e-06,2.2344039056448142e-06,-1.3203672830699566e-07,-6.940770978829654e-08,46.84429786407353
DOGE,2014-01-03,0,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,2.7809000000000004e-05,0.06757860152707373,2.000492444346093e-06,2.175572609885317e-06,-1.7508016553922432e-07,-9.05422009384821e-08,27.45583280394348
DOGE,2014-01-04,1,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,-2.7800000000004037e-07,-0.0006328033415659387,1.8911696136863703e-06,2.109966790268471e-06,-2.187971765821008e-07,-1.1619319606720584e-07,42.054207073236824
DOGE,2014-01-05,0,-1.153199999999997e-05,-0.04073889589537597,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,-8.878999999999994e-06,-0.020223808016180855,1.7905812401715775e-06,2.045328152903415e-06,-2.547469127318375e-07,-1.4390393940013218e-07,42.99169271546527
DOGE,2014-01-06,0,-1.839000000000002e-05,-0.06772507816556744,-1.153199999999997e-05,-0.04073889589537597,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,-7.948599999999998e-05,-0.18478326568377196,1.69257580113155e-06,1.9792702072373398e-06,-2.8669440610578973e-07,-1.724620327412637e-07,45.72384169593325
DOGE,2014-01-07,0,-2.2551999999999983e-05,-0.08908587432697733,-1.839000000000002e-05,-0.06772507816556744,-1.153199999999997e-05,-0.04073889589537597,-3.2981000000000015e-05,-0.10435308113854687,-3.462000000000002e-05,-0.09872473422457458,1.593838176733489e-06,1.9104932468896963e-06,-3.166550701562074e-07,-2.0130064022425245e-07,5.1813346002999765
DOGE,2014-01-08,4,-2.2464999999999996e-05,-0.09742104190427454,-2.2551999999999983e-05,-0.08908587432697733,-1.839000000000002e-05,-0.06772507816556744,-1.153199999999997e-05,-0.04073889589537597,-3.2981000000000015e-05,-0.10435308113854687,1.4945420017101878e-06,1.8392280463113509e-06,-3.4468604460116305e-07,-2.2997772109963457e-07,6.480003541876869
DOGE,2014-01-09,1,4.047599999999998e-05,0.1944727384544423,-2.2464999999999996e-05,-0.09742104190427454,-2.2551999999999983e-05,-0.08908587432697733,-1.839000000000002e-05,-0.06772507816556744,-1.153199999999997e-05,-0.04073889589537597,1.438897619905269e-06,1.7869040073237112e-06,-3.480063874184422e-07,-2.535834543633961e-07,15.343909399366325
DOGE,2014-01-10,4,-3.1079999999999845e-06,-0.01250160895868188,4.047599999999998e-05,0.1944727384544423,-2.2464999999999996e-05,-0.09742104190427454,-2.2551999999999983e-05,-0.08908587432697733,-1.839000000000002e-05,-0.06772507816556744,1.3896350673450709e-06,1.7374067496155832e-06,-3.477716822705123e-07,-2.7242109994481937e-07,15.695319790560504
DOGE,2014-01-11,2,0.00011674599999999998,0.47554378818737264,-3.1079999999999845e-06,-0.01250160895868188,4.047599999999998e-05,0.1944727384544423,-2.2464999999999996e-05,-0.09742104190427454,-2.2551999999999983e-05,-0.08908587432697733,1.4297954566236541e-06,1.7309823679889371e-06,-3.01186911365283e-07,-2.781742622289121e-07,34.239637305699475
DOGE,2014-01-18,4,3.6521000000000025e-05,0.09307914824207059,-2.2791999999999995e-05,-0.05489971263883301,6.519999999999996e-05,0.18630860362844565,6.270100000000002e-05,0.21827568440694023,-4.283599999999998e-05,-0.1297698823358336,1.6310136300880552e-06,1.715251809071549e-06,-8.423817898349374e-08,-1.8446764348872013e-07,64.65556924697421
DOGE,2014-01-19,4,0.00015680400000000003,0.3656076439893119,3.6521000000000025e-05,0.09307914824207059,-2.2791999999999995e-05,-0.05489971263883301,6.519999999999996e-05,0.18630860362844565,6.270100000000002e-05,0.21827568440694023,1.79068294054227e-06,1.7858897601062826e-06,4.793180435987525e-09,-1.466154787037786e-07,74.43822978008387
DOGE,2014-01-20,4,0.00018947599999999995,0.3235090235448786,0.00015680400000000003,0.3656076439893119,3.6521000000000025e-05,0.09307914824207059,-2.2791999999999995e-05,-0.05489971263883301,6.519999999999996e-05,0.18630860362844565,2.058618762389145e-06,1.91525094695374e-06,1.43367815435405e-07,-8.861881987594189e-08,82.07158488678854
DOGE,2014-01-21,1,0.001053194,1.3586689818696898,0.00018947599999999995,0.3235090235448786,0.00015680400000000003,0.3656076439893119,3.6521000000000025e-05,0.09307914824207059,-2.2791999999999995e-05,-0.05489971263883301,3.0236690661774557e-06,2.39052463510629e-06,6.331444310711659e-07,5.5733830313479674e-08,93.3121818535701
DOGE,2014-01-22,0,-2.684999999999992e-05,-0.01468529173685703,0.001053194,1.3586689818696898,0.00018947599999999995,0.3235090235448786,0.00015680400000000003,0.3656076439893119,3.6521000000000025e-05,0.09307914824207059,3.8214270599617445e-06,2.821529923303997e-06,9.998971366577475e-07,2.4456649158233325e-07,93.0908701479508
DOGE,2014-01-23,4,-0.0002596600000000001,-0.14413464260536998,-2.684999999999992e-05,-0.01468529173685703,0.001053194,1.3586689818696898,0.00018947599999999995,0.3235090235448786,0.00015680400000000003,0.3656076439893119,4.31441995904256e-06,3.132963329280519e-06,1.181456629762041e-06,4.3194451921827485e-07,81.267305016049
DOGE,2014-01-24,4,0.00012574000000000005,0.08155138307876905,-0.0002596600000000001,-0.14413464260536998,-2.684999999999992e-05,-0.01468529173685703,0.001053194,1.3586689818696898,0.00018947599999999995,0.3235090235448786,4.81971707442892e-06,3.4637698388933617e-06,1.3559472355355585e-06,6.167450624817316e-07,82.45781891783076
DOGE,2014-01-25,1,0.00014325999999999987,0.08590840674266448,0.00012574000000000005,0.08155138307876905,-0.0002596600000000001,-0.14413464260536998,-2.684999999999992e-05,-0.01468529173685703,0.001053194,1.3586689818696898,5.3477077413626695e-06,3.8184281033826155e-06,1.529279637980054e-06,7.992519775813961e-07,82.66759517009834
DOGE,2014-01-26,0,-4.113999999999984e-05,-0.022718612806140674,0.00014325999999999987,0.08590840674266448,0.00012574000000000005,0.08155138307876905,-0.0002596600000000001,-0.14413464260536998,-2.684999999999992e-05,-0.01468529173685703,5.765628123079426e-06,4.132929001096614e-06,1.6326991219828125e-06,9.659414064616795e-07,81.19831232600956
DOGE,2014-01-27,0,-0.0001427100000000001,-0.0806403309016732,-4.113999999999984e-05,-0.022718612806140674,0.00014325999999999987,0.08590840674266448,0.00012574000000000005,0.08155138307876905,-0.0002596600000000001,-0.14413464260536998,6.019207066378501e-06,4.375963242091191e-06,1.6432438242873097e-06,1.1014018900268057e-06,77.37381821988751
DOGE,2014-01-28,3,-0.0002850699999999999,-0.17521204671173934,-0.0001427100000000001,-0.0806403309016732,-4.113999999999984e-05,-0.022718612806140674,0.00014325999999999987,0.08590840674266448,0.00012574000000000005,0.08155138307876905,6.03392723981567e-06,4.504772497767407e-06,1.5291547420482631e-06,1.1869524604310972e-06,70.19583182376284
DOGE,2014-01-29,3,4.662999999999998e-05,0.03474845930860773,-0.0002850699999999999,-0.17521204671173934,-0.0001427100000000001,-0.0806403309016732,-4.113999999999984e-05,-0.022718612806140674,0.00014325999999999987,0.08590840674266448,6.079072454812685e-06,4.6397798043991745e-06,1.4392926504135106e-06,1.23742049842758e-06,70.01125605817543
DOGE,2014-01-30,3,8.628999999999993e-05,0.062143515584490355,4.662999999999998e-05,0.03474845930860773,-0.0002850699999999999,-0.17521204671173934,-0.0001427100000000001,-0.0806403309016732,-4.113999999999984e-05,-0.022718612806140674,6.177765342406994e-06,4.793912872530769e-06,1.383852469876225e-06,1.2667068927173089e-06,70.2530104501408
DOGE,2014-01-31,1,6.0080000000000116e-05,0.04073634606909185,8.628999999999993e-05,0.062143515584490355,4.662999999999998e-05,0.03474845930860773,-0.0002850699999999999,-0.17521204671173934,-0.0001427100000000001,-0.0806403309016732,6.303393434810137e-06,4.956908062937928e-06,1.3464853718722094e-06,1.282662588548289e-06,71.53000367449617
DOGE,2014-02-01,0,-1.9800000000000156e-05,-0.012899611057181862,6.0080000000000116e-05,0.04073634606909185,8.628999999999993e-05,0.062143515584490355,4.662999999999998e-05,0.03474845930860773,-0.0002850699999999999,-0.17521204671173934,6.395813456372234e-06,5.101146249013916e-06,1.2946672073583185e-06,1.285063512310295e-06,70.59851997038726
DOGE,2014-02-02,1,-0.00010074999999999993,-0.06649594424240819,-1.9800000000000156e-05,-0.012899611057181862,6.0080000000000116e-05,0.04073634606909185,8.628999999999993e-05,0.062143515584490355,4.662999999999998e-05,0.03474845930860773,6.403384825958088e-06,5.200692997878091e-06,1.2026918280799971e-06,1.2685891754642355e-06,66.05583864530254
DOGE,2014-02-03,0,-8.007999999999995e-05,-0.05661844765904492,-0.00010074999999999993,-0.06649594424240819,-1.9800000000000156e-05,-0.012899611057181862,6.0080000000000116e-05,0.04073634606909185,8.628999999999993e-05,0.062143515584490355,6.3536517626586486e-06,5.265835732443546e-06,1.0878160302151022e-06,1.2324345464144088e-06,61.312758623759436
DOGE,2014-02-04,4,-0.00021127000000000016,-0.1583377051637564,-8.007999999999995e-05,-0.05661844765904492,-0.00010074999999999993,-0.06649594424240819,-1.9800000000000156e-05,-0.012899611057181862,6.0080000000000116e-05,0.04073634606909185,6.1634603653461625e-06,5.2548410619016164e-06,9.086193034445461e-07,1.1676714978204364e-06,28.355213492662628
DOGE,2014-02-05,2,0.00018948000000000012,0.16872211784190996,-0.00021127000000000016,-0.1583377051637564,-8.007999999999995e-05,-0.05661844765904492,-0.00010074999999999993,-0.06649594424240819,-1.9800000000000156e-05,-0.012899611057181862,6.1353630078743e-06,5.308617838188834e-06,8.267451696854656e-07,1.0994862321934423e-06,36.35572222594255
DOGE,2014-02-06,0,-2.2800000000001205e-06,-0.0017371296218696394,0.00018948000000000012,0.16872211784190996,-0.00021127000000000016,-0.1583377051637564,-8.007999999999995e-05,-0.05661844765904492,-0.00010074999999999993,-0.06649594424240819,6.109989940369474e-06,5.357641558996546e-06,7.523483813729287e-07,1.0300586620293396e-06,42.45330970037405
DOGE,2014-02-07,3,-0.00018743999999999987,-0.14305885226257978,-2.2800000000001205e-06,-0.0017371296218696394,0.00018948000000000012,0.16872211784190996,-0.00021127000000000016,-0.1583377051637564,-8.007999999999995e-05,-0.05661844765904492,5.957116726685507e-06,5.339765447324482e-06,6.173512793610251e-07,9.475171854956767e-07,32.93532462976421
DOGE,2014-02-09,1,8.293999999999988e-05,0.0732439640403397,9.590000000000076e-06,0.008541223202914236,-0.00018743999999999987,-0.14305885226257978,-2.2800000000001205e-06,-0.0017371296218696394,0.00018948000000000012,0.16872211784190996,5.788865174120033e-06,5.342117385914901e-06,4.467477882051315e-07,7.770461536838916e-07,31.57450429071862
DOGE,2014-02-10,4,-2.1820000000000086e-05,-0.017954119079748615,8.293999999999988e-05,0.0732439640403397,9.590000000000076e-06,0.008541223202914236,-0.00018743999999999987,-0.14305885226257978,-2.2800000000001205e-06,-0.0017371296218696394,5.734966594760229e-06,5.349258646830932e-06,3.857079479292973e-07,6.987785125329728e-07,34.33343934312478
DOGE,2014-02-11,4,0.00042357000000000007,0.3548973607038124,-2.1820000000000086e-05,-0.017954119079748615,8.293999999999988e-05,0.0732439640403397,9.590000000000076e-06,0.008541223202914236,-0.00018743999999999987,-0.14305885226257978,5.9863013289361335e-06,5.498842626095574e-06,4.874587028405594e-07,6.565145505944901e-07,59.03864600990788
DOGE,2014-02-13,0,-0.0001266399999999999,-0.06716057763187895,0.00026855999999999994,0.16607815369773724,0.00042357000000000007,0.3548973607038124,-2.1820000000000086e-05,-0.017954119079748615,8.293999999999988e-05,0.0732439640403397,6.637718477046696e-06,5.8974289783473576e-06,7.402894986993385e-07,6.73706506494719e-07,57.962226083057786
DOGE,2014-02-14,0,-0.00014213000000000008,-0.08080205117709599,-0.0001266399999999999,-0.06716057763187895,0.00026855999999999994,0.16607815369773724,0.00042357000000000007,0.3548973607038124,-2.1820000000000086e-05,-0.017954119079748615,6.750021087006863e-06,6.0063368645281304e-06,7.436842224787328e-07,6.877020496915217e-07,52.194925924933685
DOGE,2014-02-15,1,-0.00015394999999999992,-0.09521541753769648,-0.00014213000000000008,-0.08080205117709599,-0.0001266399999999999,-0.06716057763187895,0.00026855999999999994,0.16607815369773724,0.00042357000000000007,0.3548973607038124,6.73712064226143e-06,6.055213259463939e-06,6.819073827974909e-07,6.865431163127156e-07,48.694826293426644
DOGE,2014-02-23,0,-6.488999999999996e-05,-0.051257948576168055,7.101000000000004e-05,0.05942557785328137,-5.436999999999998e-05,-0.04352002305272509,-0.00013035,-0.09447979937085949,2.3400000000000027e-05,0.017253329007712405,6.068533519185279e-06,5.982245452383798e-06,8.628806680148125e-08,3.318997347932266e-07,49.55082087013494
DOGE,2014-02-24,0,-0.0001035700000000001,-0.08623216159059505,-6.488999999999996e-05,-0.051257948576168055,7.101000000000004e-05,0.05942557785328137,-5.436999999999998e-05,-0.04352002305272509,-0.00013035,-0.09447979937085949,5.9043018022179915e-06,5.909562630644102e-06,-5.26082842611048e-09,2.6446762214935916e-07,47.12388187575266
DOGE,2014-02-25,4,-0.00013604800000000005,-0.12396286070943703,-0.0001035700000000001,-0.08623216159059505,-6.488999999999996e-05,-0.051257948576168055,7.101000000000004e-05,0.05942557785328137,-5.436999999999998e-05,-0.04352002305272509,5.669960863569495e-06,5.796342117337336e-06,-1.2638125376784113e-07,1.862978469659191e-07,26.272322462593223
DOGE,2014-02-26,3,0.00016069800000000003,0.16714268775443555,-0.00013604800000000005,-0.12396286070943703,-0.0001035700000000001,-0.08623216159059505,-6.488999999999996e-05,-0.051257948576168055,7.101000000000004e-05,0.05942557785328137,5.584328752305095e-06,5.745750267190192e-06,-1.614215148850975e-07,1.1675397459571578e-07,20.028797854449934
DOGE,2014-02-27,0,4.0090000000000004e-05,0.03572637995259059,0.00016069800000000003,0.16714268775443555,-0.00013604800000000005,-0.12396286070943703,-0.0001035700000000001,-0.08623216159059505,-6.488999999999996e-05,-0.051257948576168055,5.539975667604074e-06,5.712437929009323e-06,-1.724622614052492e-07,5.891072739552279e-08,24.865982229799627
DOGE,2014-02-28,2,-8.441000000000004e-05,-0.07262762103886497,4.0090000000000004e-05,0.03572637995259059,0.00016069800000000003,0.16714268775443555,-0.00013604800000000005,-0.12396286070943703,-0.0001035700000000001,-0.08623216159059505,5.443271006903265e-06,5.653101443382619e-06,-2.098304364793537e-07,5.16249462054749e-09,26.13676206531403
DOGE,2014-03-01,0,-1.0070000000000044e-05,-0.009342932957265633,-8.441000000000004e-05,-0.07262762103886497,4.0090000000000004e-05,0.03572637995259059,0.00016069800000000003,0.16714268775443555,-0.00013604800000000005,-0.12396286070943703,5.354384472818423e-06,5.594761227972928e-06,-2.4037675515450465e-07,-4.394535533446294e-08,29.95243294140566
DOGE,2014-03-02,4,-0.00010870999999999993,-0.10181222196206971,-1.0070000000000044e-05,-0.009342932957265633,-8.441000000000004e-05,-0.07262762103886497,4.0090000000000004e-05,0.03572637995259059,0.00016069800000000003,0.16714268775443555,5.20296229244516e-06,5.504048566670652e-06,-3.010862742254924e-07,-9.537353911266884e-08,27.821676173098737
DOGE,2014-03-03,3,0.0001024000000000001,0.10677344010677355,-0.00010870999999999993,-0.10181222196206971,-1.0070000000000044e-05,-0.009342932957265633,-8.441000000000004e-05,-0.07262762103886497,4.0090000000000004e-05,0.03572637995259059,5.146622741917342e-06,5.454619429436851e-06,-3.079966875195088e-07,-1.3789816879403686e-07,35.666498619441214
DOGE,2014-03-04,1,3.396999999999992e-05,0.03200369309617116,0.0001024000000000001,0.10677344010677355,-0.00010870999999999993,-0.10181222196206971,-1.0070000000000044e-05,-0.009342932957265633,-8.441000000000004e-05,-0.07262762103886497,5.122765280616975e-06,5.420317934179674e-06,-2.975526535626988e-07,-1.6982906574776926e-07,38.39620778194747
DOGE,2014-03-05,3,-4.97500000000001e-05,-0.045416784582941634,3.396999999999992e-05,0.03200369309617116,0.0001024000000000001,0.10677344010677355,-0.00010870999999999993,-0.10181222196206971,-1.0070000000000044e-05,-0.009342932957265633,5.0677012569434965e-06,5.371764689184096e-06,-3.040634322405994e-07,-1.9667593904633532e-07,35.48250250361633
DOGE,2014-03-06,1,2.6850000000000138e-05,0.025677562496413883,-4.97500000000001e-05,-0.045416784582941634,3.396999999999992e-05,0.03200369309617116,0.0001024000000000001,0.10677344010677355,-0.00010870999999999993,-0.10181222196206971,5.039931654025605e-06,5.33587092242803e-06,-2.9593926840242507e-07,-2.165286049175533e-07,41.55550630662301
DOGE,2014-03-07,0,-6.12500000000001e-05,-0.05710902462447912,2.6850000000000138e-05,0.025677562496413883,-4.97500000000001e-05,-0.045416784582941634,3.396999999999992e-05,0.03200369309617116,0.0001024000000000001,0.10677344010677355,4.973495350205424e-06,5.2819616451514665e-06,-3.084662949460422e-07,-2.349161429232511e-07,41.284179038754274
DOGE,2014-03-08,0,-7.516899999999993e-05,-0.07433202143860128,-6.12500000000001e-05,-0.05710902462447912,2.6850000000000138e-05,0.025677562496413883,-4.97500000000001e-05,-0.045416784582941634,3.396999999999992e-05,0.03200369309617116,4.864583236693424e-06,5.206673124205242e-06,-3.420898875118179e-07,-2.563508918409645e-07,34.40935838355195
DOGE,2014-03-09,3,-9.480600000000001e-05,-0.10127861500644704,-7.516899999999993e-05,-0.07433202143860128,-6.12500000000001e-05,-0.05710902462447912,2.6850000000000138e-05,0.025677562496413883,-4.97500000000001e-05,-0.045416784582941634,4.705963651611066e-06,5.104960739720269e-06,-3.989970881092024e-07,-2.848801310946121e-07,33.463045750516415
DOGE,2014-03-10,0,3.2972000000000036e-05,0.039192425872326304,-9.480600000000001e-05,-0.10127861500644704,-7.516899999999993e-05,-0.07433202143860128,-6.12500000000001e-05,-0.05710902462447912,2.6850000000000138e-05,0.025677562496413883,4.5948619037348115e-06,5.021911965697686e-06,-4.2705006196287456e-07,-3.133141172682646e-07,39.02700864044484
DOGE,2014-03-11,1,-8.560000000000002e-05,-0.09791171245983735,3.2972000000000036e-05,0.039192425872326304,-9.480600000000001e-05,-0.10127861500644704,-7.516899999999993e-05,-0.07433202143860128,-6.12500000000001e-05,-0.05710902462447912,4.440843362553982e-06,4.916121552391148e-06,-4.7527818983716575e-07,-3.4570693178204485e-07,41.063568986651084
