date,total_tweets,positive,neutral,negative
20210801,96,38,45,13
20210802,214,97,90,27
20210803,3041,1217,1475,349
20210804,593,256,277,60
20210805,304,137,130,37
20210806,1411,565,680,166
20210807,1577,559,853,165
20210808,1408,577,680,151
20210809,1541,694,693,154
20210810,919,422,388,109
20210811,2784,1224,1305,255
20210812,322,123,159,40
20210813,2095,1027,906,162
20210814,2406,1072,1130,204
20210815,6231,2500,3130,601
20210816,4119,1836,1866,417
20210817,3150,1303,1560,287
20210818,5177,2010,2671,496
20210819,806,352,376,78
20210820,42,24,16,2
20210821,5,5,0,0
20210822,535,216,264,55
20210823,2425,979,1183,263
20210824,1435,618,654,163
20210825,564,231,268,65
20210826,1811,713,877,221
20210827,436,168,213,55
20210828,1787,693,912,182
20210829,1331,630,570,131
20210830,2080,907,934,239
20210831,1351,615,595,141
