filename,date,isCompleteData,original_count,predicted_count
DOGE_20171101,2017-11-01,True,252,252
DOGE_20171102,2017-11-02,True,223,223
DOGE_20171103,2017-11-03,True,304,304
DOGE_20171104,2017-11-04,True,253,253
DOGE_20171105,2017-11-05,True,215,215
DOGE_20171106,2017-11-06,True,226,226
DOGE_20171107,2017-11-07,True,226,226
DOGE_20171108,2017-11-08,True,230,230
DOGE_20171109_Latest88,2017-11-09,False,88,238
DOGE_20171110,2017-11-10,True,272,272
DOGE_20171111,2017-11-11,True,305,305
DOGE_20171112,2017-11-12,True,267,267
DOGE_20171113,2017-11-13,True,248,248
DOGE_20171114,2017-11-14,True,238,238
DOGE_20171115,2017-11-15,True,256,256
DOGE_20171116,2017-11-16,True,299,299
DOGE_20171117,2017-11-17,True,295,295
DOGE_20171118,2017-11-18,True,267,267
DOGE_20171119,2017-11-19,True,266,266
DOGE_20171120,2017-11-20,True,349,349
DOGE_20171121,2017-11-21,True,315,315
DOGE_20171122,2017-11-22,True,641,641
DOGE_20171123,2017-11-23,True,862,862
DOGE_20171124,2017-11-24,True,412,412
DOGE_20171125,2017-11-25,True,310,310
DOGE_20171126,2017-11-26,True,304,304
DOGE_20171127,2017-11-27,True,371,371
DOGE_20171128,2017-11-28,True,434,434
DOGE_20171129,2017-11-29,True,481,481
DOGE_20171130,2017-11-30,True,435,435
DOGE_20171201,2017-12-01,True,670,670
DOGE_20171202,2017-12-02,True,732,732
DOGE_20171203,2017-12-03,True,586,586
DOGE_20171204,2017-12-04,True,950,950
DOGE_20171205,2017-12-05,True,747,747
DOGE_20171206,2017-12-06,True,733,733
DOGE_20171207_Latest725,2017-12-07,False,725,786
DOGE_20171208,2017-12-08,True,852,852
DOGE_20171209,2017-12-09,True,659,659
DOGE_20171210,2017-12-10,True,916,916
DOGE_20171211,2017-12-11,True,791,791
DOGE_20171212,2017-12-12,True,796,796
DOGE_20171213,2017-12-13,True,799,799
DOGE_20171214,2017-12-14,True,653,653
DOGE_20171215,2017-12-15,True,683,683
DOGE_20171216,2017-12-16,True,989,989
DOGE_20171217,2017-12-17,True,915,915
DOGE_20171218,2017-12-18,True,922,922
DOGE_20171219,2017-12-19,True,910,910
DOGE_20171220,2017-12-20,True,1090,1090
DOGE_20171221,2017-12-21,True,1115,1115
DOGE_20171222,2017-12-22,True,852,852
DOGE_20171223_Latest529,2017-12-23,False,529,938
DOGE_20171224,2017-12-24,True,1052,1052
DOGE_20171225_Latest364,2017-12-25,False,364,1149
DOGE_20171226,2017-12-26,True,1025,1025
DOGE_20171227,2017-12-27,True,1135,1135
DOGE_20171228_Latest854,2017-12-28,False,854,1009
DOGE_20171229_Latest747,2017-12-29,False,747,1066
DOGE_20171230_Latest547,2017-12-30,False,547,1050
DOGE_20171231,2017-12-31,True,891,891
DOGE_20180101,2018-01-01,True,756,756
DOGE_20180102,2018-01-02,True,814,814
DOGE_20180103_Latest405,2018-01-03,False,405,858
DOGE_20180104_Latest198,2018-01-04,False,198,908
DOGE_20180105_Latest566,2018-01-05,False,566,1531
DOGE_20180106_Latest50,2018-01-06,False,50,1277
DOGE_20180107,2018-01-07,True,1565,1565
DOGE_20180108_Latest637,2018-01-08,False,637,2010
DOGE_20180109_Latest774,2018-01-09,False,774,1373
DOGE_20180110,2018-01-10,True,1112,1112
DOGE_20180111,2018-01-11,True,1102,1102
DOGE_20180112_Latest1115,2018-01-12,False,1115,1159
DOGE_20180113,2018-01-13,True,867,867
DOGE_20180114_Latest164,2018-01-14,False,164,965
DOGE_20180115_Latest19,2018-01-15,False,19,485
DOGE_20180116_Latest486,2018-01-16,False,486,933
DOGE_20180117,2018-01-17,True,827,827
DOGE_20180118,2018-01-18,True,867,867
DOGE_20180119,2018-01-19,True,792,792
DOGE_20180120,2018-01-20,True,721,721
DOGE_20180121,2018-01-21,True,729,729
DOGE_20180122,2018-01-22,True,881,881
