filename,date,isCompleteData,original_count,predicted_count,expansion_ratio
DOGE_20131215,2013-12-15,True,286,286,1
DOGE_20131216,2013-12-16,True,542,542,1
DOGE_20131217,2013-12-17,True,563,563,1
DOGE_20131218,2013-12-18,True,737,737,1
DOGE_20131219,2013-12-19,True,1069,1069,1
DOGE_20131220,2013-12-20,True,906,906,1
DOGE_20131221,2013-12-21,True,670,670,1
DOGE_20131222,2013-12-22,True,782,782,1
DOGE_20131223,2013-12-23,True,915,915,1
DOGE_20131224_Latest523,2013-12-24,False,523,640,1.224461306103292
DOGE_20131225,2013-12-25,True,465,465,1
DOGE_20131226,2013-12-26,True,2167,2167,1
DOGE_20131227,2013-12-27,True,997,997,1
DOGE_20131228,2013-12-28,True,549,549,1
DOGE_20131229,2013-12-29,True,707,707,1
DOGE_20131230,2013-12-30,True,537,537,1
DOGE_20131231,2013-12-31,True,431,431,1
DOGE_20140101,2014-01-01,True,370,370,1
DOGE_20140102,2014-01-02,True,589,589,1
DOGE_20140103,2014-01-03,True,552,552,1
DOGE_20140104,2014-01-04,True,364,364,1
DOGE_20140105,2014-01-05,True,347,347,1
DOGE_20140106,2014-01-06,True,380,380,1
DOGE_20140107,2014-01-07,True,351,351,1
DOGE_20140108,2014-01-08,True,347,347,1
DOGE_20140109,2014-01-09,True,413,413,1
DOGE_20140110,2014-01-10,True,395,395,1
DOGE_20140111,2014-01-11,True,411,411,1
DOGE_20140112,2014-01-12,True,321,321,1
DOGE_20140113,2014-01-13,True,331,331,1
DOGE_20140114,2014-01-14,True,653,653,1
DOGE_20140115,2014-01-15,True,692,692,1
DOGE_20140116,2014-01-16,True,450,450,1
DOGE_20140117,2014-01-17,True,678,678,1
DOGE_20140118,2014-01-18,True,624,624,1
DOGE_20140119,2014-01-19,True,704,704,1
DOGE_20140120,2014-01-20,True,2601,2601,1
DOGE_20140121,2014-01-21,True,1820,1820,1
DOGE_20140122,2014-01-22,True,1123,1123,1
DOGE_20140123_Latest938,2014-01-23,False,938,975,1.0392984173211428
DOGE_20140124,2014-01-24,True,1071,1071,1
DOGE_20140125_Latest571,2014-01-25,False,571,708,1.2392583339911678
DOGE_20140126_Latest161,2014-01-26,False,161,984,6.111855073370671
DOGE_20140127_Latest46,2014-01-27,False,46,1035,22.500122850122846
DOGE_20140128_Latest240,2014-01-28,False,240,853,3.553762595833115
DOGE_20140129_Latest105,2014-01-29,False,105,774,7.373275328552185
DOGE_20140130_Latest34,2014-01-30,False,34,868,25.53878867869189
DOGE_20140131_Latest63,2014-01-31,False,63,770,12.2149759341588
DOGE_20140201,2014-02-01,True,1502,1502,1
DOGE_20140202,2014-02-02,True,946,946,1
DOGE_20140203,2014-02-03,True,881,881,1
DOGE_20140204,2014-02-04,True,1722,1722,1
DOGE_20140205,2014-02-05,True,2097,2097,1
DOGE_20140206,2014-02-06,True,2064,2064,1
DOGE_20140207,2014-02-07,True,2219,2219,1
DOGE_20140208,2014-02-08,True,1746,1746,1
DOGE_20140209,2014-02-09,True,1707,1707,1
DOGE_20140210_Latest1363,2014-02-10,False,1363,1857,1.362629268655606
DOGE_20140211_Latest277,2014-02-11,False,277,2112,7.625278698967643
DOGE_20140212_Latest193,2014-02-12,False,193,1423,7.373275328552186
DOGE_20140213_Latest110,2014-02-13,False,110,2809,25.53878867869189
DOGE_20140214_Latest268,2014-02-14,False,268,2092,7.804657604995657
DOGE_20140215,2014-02-15,True,1836,1836,1
DOGE_20140217,2014-02-17,True,2267,2267,1
DOGE_20140218,2014-02-18,True,1977,1977,1
DOGE_20140219,2014-02-19,True,1874,1874,1
DOGE_20140220,2014-02-20,True,1564,1564,1
DOGE_20140221,2014-02-21,True,1742,1742,1
DOGE_20140222_Latest1225,2014-02-22,False,1225,1518,1.2392583339911678
DOGE_20140223,2014-02-23,True,1515,1515,1
DOGE_20140224,2014-02-24,True,1623,1623,1
DOGE_20140225,2014-02-25,True,1867,1867,1
DOGE_20140226,2014-02-26,True,1880,1880,1
DOGE_20140227,2014-02-27,True,1674,1674,1
DOGE_20140228,2014-02-28,True,1393,1393,1
DOGE_20140301,2014-03-01,True,1760,1760,1
DOGE_20140302,2014-03-02,True,1259,1259,1
DOGE_20140303,2014-03-03,True,1417,1417,1
DOGE_20140304,2014-03-04,True,1490,1490,1
DOGE_20140305,2014-03-05,True,1378,1378,1
DOGE_20140306,2014-03-06,True,1184,1184,1
DOGE_20140307,2014-03-07,True,1288,1288,1
DOGE_20140308,2014-03-08,True,1070,1070,1
DOGE_20140309,2014-03-09,True,1089,1089,1
DOGE_20140310,2014-03-10,True,1407,1407,1
DOGE_20140311,2014-03-11,True,1413,1413,1
DOGE_20140312,2014-03-12,True,1381,1381,1
DOGE_20140313,2014-03-13,True,1272,1272,1
DOGE_20140314,2014-03-14,True,1192,1192,1
DOGE_20140315,2014-03-15,True,1019,1019,1
DOGE_20140316,2014-03-16,True,1378,1378,1
DOGE_20140317,2014-03-17,True,1416,1416,1
DOGE_20140318,2014-03-18,True,1447,1447,1
DOGE_20140319,2014-03-19,True,1499,1499,1
DOGE_20140320,2014-03-20,True,1490,1490,1
DOGE_20140321,2014-03-21,True,1160,1160,1
DOGE_20140322,2014-03-22,True,1221,1221,1
DOGE_20140323_Latest562,2014-03-23,False,562,878,1.5630843832393788
DOGE_20140324,2014-03-24,True,1260,1260,1
DOGE_20140325,2014-03-25,True,1786,1786,1
DOGE_20140326,2014-03-26,True,2535,2535,1
DOGE_20140327,2014-03-27,True,2293,2293,1
DOGE_20140328,2014-03-28,True,1629,1629,1
DOGE_20140329,2014-03-29,True,1301,1301,1
DOGE_20140330,2014-03-30,True,1308,1308,1
DOGE_20140331,2014-03-31,True,1564,1564,1
DOGE_20140401,2014-04-01,True,1548,1548,1
DOGE_20140402,2014-04-02,True,1318,1318,1
DOGE_20140403,2014-04-03,True,1804,1804,1
DOGE_20140404,2014-04-04,True,1565,1565,1
DOGE_20140405,2014-04-05,True,1299,1299,1
DOGE_20140406,2014-04-06,True,1218,1218,1
DOGE_20140407,2014-04-07,True,1803,1803,1
DOGE_20140408,2014-04-08,True,1931,1931,1
DOGE_20140409,2014-04-09,True,1994,1994,1
DOGE_20140410,2014-04-10,True,1666,1666,1
DOGE_20140411,2014-04-11,True,1484,1484,1
DOGE_20140412,2014-04-12,True,1138,1138,1
DOGE_20140413,2014-04-13,True,1155,1155,1
DOGE_20140414,2014-04-14,True,1320,1320,1
DOGE_20140415,2014-04-15,True,1865,1865,1
DOGE_20140416,2014-04-16,True,2830,2830,1
DOGE_20140417,2014-04-17,True,1766,1766,1
DOGE_20140418,2014-04-18,True,1683,1683,1
DOGE_20140419_Latest1197,2014-04-19,False,1197,1420,1.186488300856707
DOGE_20140420_Latest18,2014-04-20,False,18,487,27.07616605447363
DOGE_20140421_Latest2389,2014-04-21,False,2389,3521,1.4737142788173336
DOGE_20140422_Latest1142,2014-04-22,False,1142,3392,2.970317551836634
