filename,date,isCompleteData,original_count,predicted_count,expansion_ratio
TRUMP_20250201,2025-02-01,False,7363,11433,1.552798020074247
TRUMP_20250202,2025-02-02,False,2338,7512,3.212962962962963
TRUMP_20250203,2025-02-03,False,1317,11066,8.402190923317683
TRUMP_20250204,2025-02-04,False,4366,7046,1.613795880796226
TRUMP_20250205,2025-02-05,False,2444,5298,2.167670487662716
TRUMP_20250206,2025-02-06,False,1089,5268,4.837118605184675
TRUMP_20250207,2025-02-07,True,5974,5974,1
TRUMP_20250208,2025-02-08,False,3677,4839,1.3161053490269197
TRUMP_20250209,2025-02-09,False,2727,3429,1.257246376811594
TRUMP_20250210,2025-02-10,False,756,3489,4.614525139664804
TRUMP_20250211,2025-02-11,False,78,2203,28.248741188318228
TRUMP_20250212,2025-02-12,False,58,1127,19.437282229965156
TRUMP_20250213,2025-02-13,False,942,3692,3.919144981412639
TRUMP_20250214,2025-02-14,False,1776,9037,5.088357588357589
TRUMP_20250215,2025-02-15,True,6159,6159,1
TRUMP_20250216,2025-02-16,False,1515,4868,3.212962962962963
TRUMP_20250217,2025-02-17,False,5278,6969,1.3203000122955857
TRUMP_20250218,2025-02-18,True,6235,6235,1
TRUMP_20250219,2025-02-19,False,1244,4069,3.270888302550572
TRUMP_20250220,2025-02-20,False,1276,5001,3.919144981412639
TRUMP_20250221,2025-02-21,False,101,3323,32.89650537634409
TRUMP_20250222,2025-02-22,False,653,3036,4.6494442157266365
TRUMP_20250223,2025-02-23,False,965,1851,1.9181363516714927
TRUMP_20250224,2025-02-24,False,2810,3569,1.270167967825881
TRUMP_20250225,2025-02-25,False,3857,4124,1.0691797530111298
TRUMP_20250226,2025-02-26,False,1688,3659,2.167670487662716
TRUMP_20250227,2025-02-27,True,5040,5040,1
TRUMP_20250228,2025-02-28,False,584,5294,9.064814814814815
TRUMP_20250301,2025-03-01,True,5104,5104,1
TRUMP_20250302,2025-03-02,False,464,5750,12.392857142857144
TRUMP_20250303,2025-03-03,True,6685,6685,1
TRUMP_20250304,2025-03-04,True,5472,5472,1
TRUMP_20250305,2025-03-05,False,2756,3598,1.3056758338209478
TRUMP_20250306,2025-03-06,False,1526,4149,2.718891038039974
TRUMP_20250307,2025-03-07,False,3835,4381,1.1423570595099182
TRUMP_20250308,2025-03-08,False,1994,3096,1.552798020074247
TRUMP_20250309,2025-03-09,False,1754,2296,1.309198706431908
TRUMP_20250310,2025-03-10,False,2622,2836,1.081805359661495
TRUMP_20250311,2025-03-11,False,714,2204,3.0872771296500106
TRUMP_20250312,2025-03-12,False,129,1406,10.8955078125
TRUMP_20250313,2025-03-13,False,574,2250,3.9191449814126385
TRUMP_20250314,2025-03-14,False,1676,2875,1.7153770675637792
TRUMP_20250315,2025-03-15,True,2147,2147,1
