filename,date,isCompleteData,original_count,predicted_count,expansion_ratio
TRUMP_20250118,2025-01-18,False,74365,160367,2.1564827191139964
TRUMP_20250119,2025-01-19,False,725,20158,27.80392156862745
TRUMP_20250120,2025-01-20,False,530,13412,25.306122448979593
TRUMP_20250121,2025-01-21,False,18992,58634,3.0872771296500106
TRUMP_20250122,2025-01-22,False,4124,20856,5.057171514543631
TRUMP_20250123,2025-01-23,False,4417,28301,6.407279029462739
TRUMP_20250124,2025-01-24,False,13371,19115,1.4296144859813085
TRUMP_20250125,2025-01-25,False,2149,21757,10.124159569699687
TRUMP_20250126,2025-01-26,False,145,4032,27.80392156862745
TRUMP_20250128,2025-01-28,False,23,650,28.248741188318228
TRUMP_20250129,2025-01-29,False,7,129,18.468864468864467
TRUMP_20250130,2025-01-30,False,16,466,29.11023622047244
TRUMP_20250131,2025-01-31,False,316,10395,32.89650537634409
TRUMP_20250201,2025-02-01,False,7363,11433,1.552798020074247
TRUMP_20250202,2025-02-02,False,2338,7069,3.023454157782517
TRUMP_20250203,2025-02-03,False,1317,11617,8.821138211382113
TRUMP_20250204,2025-02-04,False,4366,7046,1.613795880796226
TRUMP_20250205,2025-02-05,False,2444,5168,2.114489410777941
TRUMP_20250206,2025-02-06,False,1089,5451,5.0054156512320604
TRUMP_20250207,2025-02-07,True,5974,5974,1
TRUMP_20250208,2025-02-08,False,3677,4839,1.3161053490269197
TRUMP_20250209,2025-02-09,False,2727,3351,1.2287694974003467
TRUMP_20250210,2025-02-10,False,756,3596,4.756164383561643
TRUMP_20250211,2025-02-11,False,78,2203,28.248741188318228
TRUMP_20250212,2025-02-12,False,58,1071,18.468864468864467
TRUMP_20250213,2025-02-13,False,942,3819,4.053728070175438
TRUMP_20250214,2025-02-14,False,1776,9037,5.088357588357589
TRUMP_20250215,2025-02-15,True,6159,6159,1
TRUMP_20250216,2025-02-16,False,1515,4581,3.023454157782517
TRUMP_20250217,2025-02-17,False,5278,7084,1.342198855729086
TRUMP_20250218,2025-02-18,True,6235,6235,1
TRUMP_20250219,2025-02-19,False,1244,3941,3.1680804272698717
TRUMP_20250220,2025-02-20,False,1276,5173,4.053728070175438
TRUMP_20250221,2025-02-21,False,101,3323,32.89650537634409
TRUMP_20250222,2025-02-22,False,653,3036,4.6494442157266365
TRUMP_20250223,2025-02-23,False,965,1714,1.776385844033824
TRUMP_20250224,2025-02-24,False,2810,3630,1.2916666666666665
TRUMP_20250225,2025-02-25,False,3857,4124,1.0691797530111298
TRUMP_20250226,2025-02-26,False,1688,3569,2.114489410777941
TRUMP_20250227,2025-02-27,True,5040,5040,1
TRUMP_20250228,2025-02-28,False,584,5294,9.064814814814815
TRUMP_20250301,2025-03-01,True,5104,5104,1
TRUMP_20250302,2025-03-02,False,464,5848,12.604444444444445
TRUMP_20250303,2025-03-03,True,6685,6685,1
TRUMP_20250304,2025-03-04,True,5472,5472,1
TRUMP_20250305,2025-03-05,False,2756,3577,1.297979147895482
TRUMP_20250306,2025-03-06,False,1526,4284,2.807563791008506
TRUMP_20250307,2025-03-07,False,3835,4381,1.1423570595099182
TRUMP_20250308,2025-03-08,False,1994,3096,1.552798020074247
TRUMP_20250309,2025-03-09,False,1754,2239,1.276614899842449
TRUMP_20250310,2025-03-10,False,2622,2855,1.0886742756804213
TRUMP_20250311,2025-03-11,False,714,2204,3.0872771296500106
TRUMP_20250312,2025-03-12,False,129,1364,10.570230607966456
TRUMP_20250313,2025-03-13,False,574,2327,4.053728070175438
TRUMP_20250314,2025-03-14,False,1676,2875,1.7153770675637792
TRUMP_20250315,2025-03-15,True,2147,2147,1
TRUMP_20250316,2025-03-16,False,1711,1841,1.0760766457977613
TRUMP_20250317,2025-03-17,True,1995,1995,1
TRUMP_20250318,2025-03-18,False,1165,1880,1.613795880796226
TRUMP_20250319,2025-03-19,False,1908,2020,1.0585765273986985
TRUMP_20250320,2025-03-20,False,1011,1959,1.9372249004401592
TRUMP_20250321,2025-03-21,False,1067,1713,1.6053391053391055
TRUMP_20250322,2025-03-22,False,425,1620,3.8127954085077653
TRUMP_20250323,2025-03-23,True,3415,3415,1
TRUMP_20250324,2025-03-24,False,283,2496,8.821138211382113
TRUMP_20250325,2025-03-25,True,3035,3035,1
TRUMP_20250327,2025-03-27,False,1,29,29.11023622047244
TRUMP_20250328,2025-03-28,False,141,1278,9.064814814814817
TRUMP_20250329,2025-03-29,False,7,215,30.688858695652176
TRUMP_20250330,2025-03-30,False,698,920,1.3184565318456534
TRUMP_20250331,2025-03-31,False,994,1465,1.474184782608696
TRUMP_20250401,2025-04-01,False,65,900,13.852345679012345
TRUMP_20250402,2025-04-02,True,1700,1700,1
TRUMP_20250403,2025-04-03,False,1814,2109,1.1624323984404477
TRUMP_20250404,2025-04-04,True,1680,1680,1
TRUMP_20250405,2025-04-05,True,2057,2057,1
TRUMP_20250406,2025-04-06,False,24,667,27.803921568627448
TRUMP_20250407,2025-04-07,False,10,253,25.306122448979593
TRUMP_20250408,2025-04-08,False,1297,1499,1.155503377821717
TRUMP_20250409,2025-04-09,True,2911,2911,1
TRUMP_20250410,2025-04-10,True,3056,3056,1
TRUMP_20250411,2025-04-11,False,1,33,32.89650537634409
TRUMP_20250412,2025-04-12,False,3,92,30.688858695652176
TRUMP_20250413,2025-04-13,False,136,1714,12.604444444444443
TRUMP_20250414,2025-04-14,False,1602,2484,1.550276835149134
TRUMP_20250415,2025-04-15,False,14,395,28.248741188318228
TRUMP_20250416,2025-04-16,True,2544,2544,1
TRUMP_20250417,2025-04-17,True,2509,2509,1
TRUMP_20250418,2025-04-18,False,86,2829,32.89650537634409
TRUMP_20250419,2025-04-19,True,2932,2932,1
TRUMP_20250420,2025-04-20,False,68,857,12.604444444444443
TRUMP_20250421,2025-04-21,False,19,481,25.306122448979593
TRUMP_20250422,2025-04-22,False,58,1638,28.248741188318228
TRUMP_20250423,2025-04-23,False,6031,12752,2.114489410777941
TRUMP_20250424,2025-04-24,False,201,2830,14.078446306169079
TRUMP_20250425,2025-04-25,True,3767,3767,1
TRUMP_20250426,2025-04-26,False,1652,3563,2.1564827191139964
TRUMP_20250427,2025-04-27,False,392,1520,3.8769651401230356
TRUMP_20250428,2025-04-28,False,1446,3167,2.1902599041130455
TRUMP_20250429,2025-04-29,False,1211,3184,2.6294525684289463
TRUMP_20250430,2025-04-30,False,1408,2149,1.5260290556900726
TRUMP_20250501,2025-05-01,True,2151,2151,1
TRUMP_20250502,2025-05-02,False,1245,2136,1.7153770675637794
TRUMP_20250503,2025-05-03,False,1001,2402,2.39980875478113
TRUMP_20250504,2025-05-04,True,2257,2257,1
