category,hour,4/12/2021,4/13/2021,4/14/2021,4/15/2021,4/16/2021,4/17/2021,4/18/2021,4/19/2021,4/20/2021,4/21/2021,4/22/2021,4/23/2021,4/24/2021,4/25/2021,4/26/2021,4/27/2021,4/28/2021,4/29/2021,4/30/2021,,累積_2021-04-12,累積_2021-04-13,累積_2021-04-14,累積_2021-04-15,累積_2021-04-16,累積_2021-04-17,累積_2021-04-18,累積_2021-04-19,累積_2021-04-20,累積_2021-04-21,累積_2021-04-22,累積_2021-04-23,累積_2021-04-24,累積_2021-04-25,累積_2021-04-26,累積_2021-04-27,累積_2021-04-28,累積_2021-04-29,累積_2021-04-30
normal,0,207,94,,,,,,,,,,,,390,,472,,,412,,207,94,,,,,,,,,,,,390,,472,,,412
normal,1,194,293,,,,,,,,,,,,493,,406,,,330,,401,387,,,,,,,,,,,,883,,878,,,742
normal,2,170,176,,,,,657,,776,,,,,398,,403,,189,425,,571,563,,,,,657,,776,,,,,1281,,1281,,189,1167
normal,3,148,136,867,32,,,744,,1312,,,,,635,,304,,524,346,,719,699,867,32,,,1401,,2088,,,,,1916,,1585,,713,1513
normal,4,126,126,776,763,,,759,,1773,,,,,356,,300,,402,323,,845,825,1643,795,,,2160,,3861,,,,,2272,,1885,,1115,1836
normal,5,74,141,814,520,,,604,,1429,,,,,386,66,230,,337,329,,919,966,2457,1315,,,2764,,5290,,,,,2658,66,2115,,1452,2165
normal,6,69,118,1867,305,,,496,,1096,,,,,339,223,270,,237,270,,988,1084,4324,1620,,,3260,,6386,,,,,2997,289,2385,,1689,2435
normal,7,74,94,1037,235,,,527,,966,,,,,278,213,244,,242,241,,1062,1178,5361,1855,,,3787,,7352,,,,,3275,502,2629,,1931,2676
normal,8,67,96,978,228,,,517,,794,,,,,240,156,228,,210,295,,1129,1274,6339,2083,,,4304,,8146,,,,,3515,658,2857,,2141,2971
normal,9,71,96,860,207,,,722,,876,,,,,204,153,214,,207,247,,1200,1370,7199,2290,,,5026,,9022,,,,,3719,811,3071,,2348,3218
normal,10,66,178,907,225,,,537,,986,,,,,226,177,221,,251,231,,1266,1548,8106,2515,,,5563,,10008,,,,,3945,988,3292,,2599,3449
normal,11,102,165,1214,239,,,523,,1141,,,,,243,264,431,,265,274,,1368,1713,9320,2754,,,6086,,11149,,,,,4188,1252,3723,,2864,3723
normal,12,117,175,1590,320,,,602,,1208,,,,,329,316,412,,336,310,,1485,1888,10910,3074,,,6688,,12357,,,,,4517,1568,4135,,3200,4033
normal,13,132,479,1277,749,,,569,,1382,,,,,350,344,390,,367,357,,1617,2367,12187,3823,,,7257,,13739,,,,,4867,1912,4525,,3567,4390
normal,14,136,804,1144,535,,,754,,1665,,,,302,373,360,377,,396,343,,1753,3171,13331,4358,,,8011,,15404,,,,302,5240,2272,4902,,3963,4733
normal,15,147,587,1007,474,,,797,,1645,,,,559,400,383,415,,374,359,,1900,3758,14338,4832,,,8808,,17049,,,,861,5640,2655,5317,,4337,5092
normal,16,167,2750,893,529,,,911,,1995,,,185,553,393,406,434,,392,420,,2067,6508,15231,5361,,,9719,,19044,,,185,1414,6033,3061,5751,,4729,5512
normal,17,184,1510,688,554,,,915,,1721,,,593,575,417,391,410,,464,475,,2251,8018,15919,5915,,,10634,,20765,,,778,1989,6450,3452,6161,,5193,5987
normal,18,138,1009,546,1131,,,966,,1366,,,493,525,502,401,356,,358,930,,2389,9027,16465,7046,,,11600,,22131,,,1271,2514,6952,3853,6517,,5551,6917
normal,19,119,734,573,4818,1480,,1094,,1397,,450,487,507,349,434,419,,329,603,,2508,9761,17038,11864,1480,,12694,,23528,,450,1758,3021,7301,4287,6936,,5880,7520
normal,20,124,665,482,3761,1962,,1237,,1590,441,621,556,457,311,424,367,,395,473,,2632,10426,17520,15625,3442,,13931,,25118,441,1071,2314,3478,7612,4711,7303,,6275,7993
normal,21,110,660,407,2409,1978,,952,1197,1718,730,761,439,413,401,412,427,,468,442,,2742,11086,17927,18034,5420,,14883,1197,26836,1171,1832,2753,3891,8013,5123,7730,,6743,8435
normal,22,110,437,462,1518,2066,,649,1454,1143,522,598,417,395,294,325,362,,528,539,,2852,11523,18389,19552,7486,,15532,2651,27979,1693,2430,3170,4286,8307,5448,8092,,7271,8974
normal,23,102,542,396,1170,1871,354,681,1348,894,490,586,411,338,267,507,320,484,382,487,,2954,12065,18785,20722,9357,354,16213,3999,28873,2183,3016,3581,4624,8574,5955,8412,484,7653,9461
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robot,0,34,33,,,,,,,,,,,,47,,54,,,7,,34,33,,,,,,,,,,,,47,,54,,,7
robot,1,26,30,,,,,,,,,,,,42,,56,,,27,,60,63,,,,,,,,,,,,89,,110,,,34
robot,2,29,30,,,,,5,,29,,,,,52,,55,,13,1,,89,93,,,,,5,,29,,,,,141,,165,,13,35
robot,3,33,39,26,,,,8,,83,,,,,53,,59,,55,8,,122,132,26,,,,13,,112,,,,,194,,224,,68,43
robot,4,26,23,28,25,,,8,,96,,,,,44,,49,,44,8,,148,155,54,25,,,21,,208,,,,,238,,273,,112,51
robot,5,38,33,47,13,,,4,,121,,,,,51,14,56,,61,9,,186,188,101,38,,,25,,329,,,,,289,14,329,,173,60
robot,6,43,48,60,67,,,9,,99,,,,,58,65,67,,73,8,,229,236,161,105,,,34,,428,,,,,347,79,396,,246,68
robot,7,43,36,36,39,,,7,,73,,,,,52,53,53,,62,3,,272,272,197,144,,,41,,501,,,,,399,132,449,,308,71
robot,8,37,32,44,31,,,10,,66,,,,,45,54,54,,57,7,,309,304,241,175,,,51,,567,,,,,444,186,503,,365,78
robot,9,33,28,28,34,,,17,,44,,,,,52,52,55,,45,3,,342,332,269,209,,,68,,611,,,,,496,238,558,,410,81
robot,10,34,28,32,37,,,2,,46,,,,,46,51,53,,53,55,,376,360,301,246,,,70,,657,,,,,542,289,611,,463,136
robot,11,29,34,59,37,,,5,,54,,,,,50,54,54,,55,15,,405,394,360,283,,,75,,711,,,,,592,343,665,,518,151
robot,12,33,30,38,33,,,3,,57,,,,,52,60,57,,60,14,,438,424,398,316,,,78,,768,,,,,644,403,722,,578,165
robot,13,35,28,38,29,,,16,,48,,,,,51,55,55,,58,40,,473,452,436,345,,,94,,816,,,,,695,458,777,,636,205
robot,14,32,32,37,35,,,13,,109,,,,14,50,48,19,,61,61,,505,484,473,380,,,107,,925,,,,14,745,506,796,,697,266
robot,15,29,30,36,34,,,13,,108,,,,38,46,55,27,,74,58,,534,514,509,414,,,120,,1033,,,,52,791,561,823,,771,324
robot,16,37,30,29,56,,,12,,80,,,5,35,51,50,61,,52,54,,571,544,538,470,,,132,,1113,,,5,87,842,611,884,,823,378
robot,17,26,31,21,34,,,8,,110,,,9,32,51,50,47,,50,56,,597,575,559,504,,,140,,1223,,,14,119,893,661,931,,873,434
robot,18,31,40,32,61,,,6,,73,,,0,61,50,58,72,,56,60,,628,615,591,565,,,146,,1296,,,14,180,943,719,1003,,929,494
robot,19,29,27,28,62,47,,11,,60,,34,17,38,50,55,91,,49,60,,657,642,619,627,47,,157,,1356,,34,31,218,993,774,1094,,978,554
robot,20,26,29,35,48,37,,9,,43,30,36,68,37,51,55,43,,54,56,,683,671,654,675,84,,166,,1399,30,70,99,255,1044,829,1137,,1032,610
robot,21,30,30,33,36,38,,11,53,53,45,41,123,46,50,59,55,,60,55,,713,701,687,711,122,,177,53,1452,75,111,222,301,1094,888,1192,,1092,665
robot,22,29,27,30,34,50,,4,44,41,32,53,7,41,47,52,46,,56,50,,742,728,717,745,172,,181,97,1493,107,164,229,342,1141,940,1238,,1148,715
robot,23,32,28,34,65,44,14,13,48,73,40,83,39,49,49,56,51,43,55,55,,774,756,751,810,216,14,194,145,1566,147,247,268,391,1190,996,1289,43,1203,770
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spammer,0,88,42,,,,,,,,,,,,98,,133,,,144,,88,42,,,,,,,,,,,,98,,133,,,144
spammer,1,77,129,,,,,,,,,,,,197,,145,,,96,,165,171,,,,,,,,,,,,295,,278,,,240
spammer,2,88,106,,,,,200,,130,,,,,229,,116,,51,106,,253,277,,,,,200,,130,,,,,524,,394,,51,346
spammer,3,58,97,219,11,,,206,,308,,,,,151,,131,,151,90,,311,374,219,11,,,406,,438,,,,,675,,525,,202,436
spammer,4,41,59,198,224,,,259,,430,,,,,135,,127,,114,114,,352,433,417,235,,,665,,868,,,,,810,,652,,316,550
spammer,5,20,68,153,205,,,204,,366,,,,,132,23,100,,102,99,,372,501,570,440,,,869,,1234,,,,,942,23,752,,418,649
spammer,6,33,51,442,94,,,239,,247,,,,,140,77,92,,91,101,,405,552,1012,534,,,1108,,1481,,,,,1082,100,844,,509,750
spammer,7,51,49,239,114,,,197,,278,,,,,67,67,77,,102,62,,456,601,1251,648,,,1305,,1759,,,,,1149,167,921,,611,812
spammer,8,13,31,108,86,,,160,,186,,,,,50,50,54,,46,43,,469,632,1359,734,,,1465,,1945,,,,,1199,217,975,,657,855
spammer,9,22,31,143,53,,,153,,131,,,,,52,36,54,,46,53,,491,663,1502,787,,,1618,,2076,,,,,1251,253,1029,,703,908
spammer,10,20,40,168,55,,,98,,217,,,,,62,47,57,,50,50,,511,703,1670,842,,,1716,,2293,,,,,1313,300,1086,,753,958
spammer,11,19,52,208,51,,,122,,226,,,,,47,37,70,,79,52,,530,755,1878,893,,,1838,,2519,,,,,1360,337,1156,,832,1010
spammer,12,28,46,265,67,,,138,,274,,,,,82,86,74,,93,91,,558,801,2143,960,,,1976,,2793,,,,,1442,423,1230,,925,1101
spammer,13,33,108,240,127,,,162,,386,,,,,89,105,116,,105,71,,591,909,2383,1087,,,2138,,3179,,,,,1531,528,1346,,1030,1172
spammer,14,59,232,198,98,,,272,,307,,,,32,131,70,87,,106,80,,650,1141,2581,1185,,,2410,,3486,,,,32,1662,598,1433,,1136,1252
spammer,15,58,202,227,102,,,253,,333,,,,126,136,131,111,,143,88,,708,1343,2808,1287,,,2663,,3819,,,,158,1798,729,1544,,1279,1340
spammer,16,85,517,187,143,,,230,,408,,,77,178,144,129,117,,129,143,,793,1860,2995,1430,,,2893,,4227,,,77,336,1942,858,1661,,1408,1483
spammer,17,79,339,122,216,,,320,,380,,,129,147,123,118,136,,134,100,,872,2199,3117,1646,,,3213,,4607,,,206,483,2065,976,1797,,1542,1583
spammer,18,60,266,169,358,,,288,,373,,,183,125,138,158,136,,121,267,,932,2465,3286,2004,,,3501,,4980,,,389,608,2203,1134,1933,,1663,1850
spammer,19,74,227,162,772,210,,366,,380,,170,213,137,96,145,116,,133,132,,1006,2692,3448,2776,210,,3867,,5360,,170,602,745,2299,1279,2049,,1796,1982
spammer,20,44,188,149,576,317,,464,,395,133,171,198,139,93,157,124,,92,106,,1050,2880,3597,3352,527,,4331,,5755,133,341,800,884,2392,1436,2173,,1888,2088
spammer,21,64,186,191,457,305,,353,259,384,278,252,164,118,85,120,155,,120,88,,1114,3066,3788,3809,832,,4684,259,6139,411,593,964,1002,2477,1556,2328,,2008,2176
spammer,22,88,155,246,300,326,,270,476,473,217,121,126,124,99,120,123,,109,146,,1202,3221,4034,4109,1158,,4954,735,6612,628,714,1090,1126,2576,1676,2451,,2117,2322
spammer,23,55,186,225,299,306,95,192,294,259,202,160,149,125,69,165,124,127,124,125,,1257,3407,4259,4408,1464,95,5146,1029,6871,830,874,1239,1251,2645,1841,2575,127,2241,2447
