category,hour,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,,累積_2021-05-01,累積_2021-05-02,累積_2021-05-03,累積_2021-05-04,累積_2021-05-05,累積_2021-05-06,累積_2021-05-07,累積_2021-05-08,累積_2021-05-09,累積_2021-05-10,累積_2021-05-11,累積_2021-05-12,累積_2021-05-13,累積_2021-05-14,累積_2021-05-15,累積_2021-05-16,累積_2021-05-17,累積_2021-05-18,累積_2021-05-19,累積_2021-05-20,累積_2021-05-21,累積_2021-05-22,累積_2021-05-23,累積_2021-05-24,累積_2021-05-25,累積_2021-05-26,累積_2021-05-27,累積_2021-05-28,累積_2021-05-29,累積_2021-05-30,累積_2021-05-31
normal,0,,995.0,315.0,,,,,,2194.0,,1255.0,979.0,,,755.0,1594.0,1099.0,763.0,525.0,940.0,546.0,,405.0,,1050.0,736.0,,388.0,266.0,317.0,263.0,,,995,315,,,,,,2194,,1255,979,,,755,1594,1099,763,525,940,546,,405,,1050,736,,388,266,317,263
normal,1,,774.0,314.0,,,,,,1739.0,,1138.0,952.0,,,751.0,2346.0,957.0,747.0,801.0,1026.0,630.0,,408.0,,2717.0,679.0,,383.0,244.0,309.0,241.0,,,1769,629,,,,,,3933,,2393,1931,,,1506,3940,2056,1510,1326,1966,1176,,813,,3767,1415,,771,510,626,504
normal,2,,593.0,339.0,,,,,,1989.0,,1004.0,995.0,,,711.0,2428.0,1151.0,764.0,782.0,886.0,593.0,,371.0,,1355.0,756.0,,315.0,274.0,362.0,258.0,,,2362,968,,,,,,5922,,3397,2926,,,2217,6368,3207,2274,2108,2852,1769,,1184,,5122,2171,,1086,784,988,762
normal,3,,634.0,284.0,,,,,,5535.0,,956.0,1055.0,,,683.0,1438.0,1382.0,796.0,756.0,811.0,499.0,,389.0,,1552.0,649.0,341.0,471.0,306.0,279.0,272.0,,,2996,1252,,,,,,11457,,4353,3981,,,2900,7806,4589,3070,2864,3663,2268,,1573,,6674,2820,341.0,1557,1090,1267,1034
normal,4,,361.0,284.0,,,,,,10274.0,,964.0,968.0,,,631.0,1196.0,1462.0,792.0,778.0,727.0,477.0,,381.0,,1264.0,609.0,362.0,514.0,260.0,245.0,268.0,,,3357,1536,,,,,,21731,,5317,4949,,,3531,9002,6051,3862,3642,4390,2745,,1954,,7938,3429,703.0,2071,1350,1512,1302
normal,5,,328.0,238.0,,,,,1077.0,4994.0,,825.0,855.0,,,536.0,1256.0,1705.0,674.0,841.0,663.0,373.0,,361.0,,1630.0,543.0,311.0,346.0,410.0,213.0,244.0,,,3685,1774,,,,,1077.0,26725,,6142,5804,,,4067,10258,7756,4536,4483,5053,3118,,2315,,9568,3972,1014.0,2417,1760,1725,1546
normal,6,,297.0,193.0,,,,,898.0,2477.0,,767.0,843.0,,,591.0,1336.0,1532.0,663.0,638.0,652.0,393.0,,299.0,,1578.0,525.0,316.0,260.0,227.0,241.0,258.0,,,3982,1967,,,,,1975.0,29202,,6909,6647,,,4658,11594,9288,5199,5121,5705,3511,,2614,,11146,4497,1330.0,2677,1987,1966,1804
normal,7,,264.0,222.0,,,,45.0,825.0,1865.0,,937.0,1462.0,,,575.0,1215.0,1208.0,617.0,562.0,571.0,465.0,,332.0,174.0,1225.0,463.0,355.0,325.0,279.0,268.0,237.0,,,4246,2189,,,,45.0,2800.0,31067,,7846,8109,,,5233,12809,10496,5816,5683,6276,3976,,2946,174.0,12371,4960,1685.0,3002,2266,2234,2041
normal,8,,257.0,259.0,,,,543.0,700.0,1490.0,,2527.0,1217.0,,,489.0,1599.0,804.0,516.0,496.0,563.0,399.0,,375.0,325.0,1155.0,468.0,344.0,298.0,227.0,265.0,230.0,,,4503,2448,,,,588.0,3500.0,32557,,10373,9326,,,5722,14408,11300,6332,6179,6839,4375,,3321,499.0,13526,5428,2029.0,3300,2493,2499,2271
normal,9,,165.0,249.0,,,,554.0,737.0,1540.0,,1578.0,815.0,,,436.0,1455.0,815.0,889.0,504.0,438.0,416.0,,400.0,299.0,916.0,522.0,426.0,253.0,237.0,233.0,222.0,,,4668,2697,,,,1142.0,4237.0,34097,,11951,10141,,,6158,15863,12115,7221,6683,7277,4791,,3721,798.0,14442,5950,2455.0,3553,2730,2732,2493
normal,10,30.0,234.0,228.0,942.0,,,597.0,763.0,2238.0,,1297.0,872.0,,,618.0,1296.0,755.0,662.0,587.0,1185.0,420.0,,426.0,297.0,890.0,560.0,354.0,362.0,236.0,252.0,256.0,,30.0,4902,2925,942.0,,,1739.0,5000.0,36335,,13248,11013,,,6776,17159,12870,7883,7270,8462,5211,,4147,1095.0,15332,6510,2809.0,3915,2966,2984,2749
normal,11,283.0,243.0,235.0,1478.0,,,617.0,856.0,2220.0,,1343.0,1133.0,,,648.0,1220.0,766.0,824.0,919.0,1410.0,503.0,,341.0,403.0,906.0,518.0,3334.0,493.0,258.0,212.0,267.0,,313.0,5145,3160,2420.0,,,2356.0,5856.0,38555,,14591,12146,,,7424,18379,13636,8707,8189,9872,5714,,4488,1498.0,16238,7028,6143.0,4408,3224,3196,3016
normal,12,316.0,272.0,398.0,5883.0,1417.0,,720.0,1059.0,3231.0,392.0,1542.0,1085.0,,,810.0,1042.0,1457.0,764.0,1412.0,1297.0,1025.0,,481.0,511.0,972.0,686.0,4328.0,433.0,340.0,288.0,275.0,,629.0,5417,3558,8303.0,1417.0,,3076.0,6915.0,41786,392.0,16133,13231,,,8234,19421,15093,9471,9601,11169,6739,,4969,2009.0,17210,7714,10471.0,4841,3564,3484,3291
normal,13,393.0,254.0,1125.0,5267.0,1979.0,1008.0,827.0,1226.0,3684.0,1499.0,1400.0,1364.0,,,951.0,1043.0,1968.0,844.0,2503.0,1458.0,928.0,,728.0,537.0,1068.0,681.0,2676.0,427.0,404.0,368.0,337.0,,1022.0,5671,4683,13570.0,3396.0,1008.0,3903.0,8141.0,45470,1891.0,17533,14595,,,9185,20464,17061,10315,12104,12627,7667,,5697,2546.0,18278,8395,13147.0,5268,3968,3852,3628
normal,14,354.0,316.0,886.0,6284.0,1941.0,981.0,947.0,1417.0,2813.0,1688.0,1578.0,1581.0,,,784.0,1184.0,4259.0,821.0,2237.0,1118.0,843.0,,730.0,588.0,1989.0,822.0,827.0,503.0,395.0,413.0,422.0,,1376.0,5987,5569,19854.0,5337.0,1989.0,4850.0,9558.0,48283,3579.0,19111,16176,,,9969,21648,21320,11136,14341,13745,8510,,6427,3134.0,20267,9217,13974.0,5771,4363,4265,4050
normal,15,369.0,418.0,981.0,3524.0,1603.0,992.0,1097.0,1625.0,2793.0,1516.0,1527.0,2251.0,,1142.0,865.0,1064.0,1684.0,970.0,1969.0,976.0,692.0,,747.0,613.0,1932.0,664.0,529.0,487.0,525.0,412.0,460.0,,1745.0,6405,6550,23378.0,6940.0,2981.0,5947.0,11183.0,51076,5095.0,20638,18427,,1142.0,10834,22712,23004,12106,16310,14721,9202,,7174,3747.0,22199,9881,14503.0,6258,4888,4677,4510
