category,hour,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,,累積_2021-06-01,累積_2021-06-02,累積_2021-06-03,累積_2021-06-04,累積_2021-06-05,累積_2021-06-06,累積_2021-06-07,累積_2021-06-08,累積_2021-06-09,累積_2021-06-10,累積_2021-06-11,累積_2021-06-12,累積_2021-06-13,累積_2021-06-14,累積_2021-06-15,累積_2021-06-16,累積_2021-06-17,累積_2021-06-18,累積_2021-06-19,累積_2021-06-20,累積_2021-06-21,累積_2021-06-22,累積_2021-06-23,累積_2021-06-24,累積_2021-06-25,累積_2021-06-26,累積_2021-06-27,累積_2021-06-28,累積_2021-06-29,累積_2021-06-30
normal,0,375.0,719.0,550.0,541.0,421.0,,433.0,333.0,359.0,319.0,287.0,,,,,,,,253.0,,,,319.0,,,256.0,,,,,,375,719,550,541,421,,433,333,359,319,287,,,,,,,,253,,,,319,,,256,,,,
normal,1,581.0,583.0,569.0,1101.0,348.0,,419.0,367.0,342.0,350.0,284.0,,,,,,,,232.0,,,,321.0,,,228.0,,,,,,956,1302,1119,1642,769,,852,700,701,669,571,,,,,,,,485,,,,640,,,484,,,,
normal,2,389.0,558.0,573.0,712.0,370.0,,408.0,368.0,408.0,327.0,348.0,,,,,,,,240.0,,,,488.0,,,267.0,,,,,,1345,1860,1692,2354,1139,,1260,1068,1109,996,919,,,,,,,,725,,,,1128,,,751,,,,
normal,3,339.0,537.0,492.0,905.0,350.0,,447.0,349.0,361.0,280.0,334.0,,,,,,,,247.0,,,,370.0,,,280.0,,,,,,1684,2397,2184,3259,1489,,1707,1417,1470,1276,1253,,,,,,,,972,,,,1498,,,1031,,,,
normal,4,295.0,551.0,533.0,673.0,337.0,,429.0,290.0,404.0,257.0,681.0,,,,,,,,250.0,,,,1639.0,,,294.0,,,,,,1979,2948,2717,3932,1826,,2136,1707,1874,1533,1934,,,,,,,,1222,,,,3137,,,1325,,,,
normal,5,361.0,487.0,563.0,523.0,339.0,,371.0,293.0,333.0,262.0,462.0,,,,,,,,199.0,,,,272.0,,,283.0,,,,,,2340,3435,3280,4455,2165,,2507,2000,2207,1795,2396,,,,,,,,1421,,,,3409,,,1608,,,,
normal,6,357.0,456.0,503.0,469.0,312.0,,334.0,286.0,291.0,224.0,386.0,,,,,,,,200.0,,,,266.0,,,259.0,,,,,,2697,3891,3783,4924,2477,,2841,2286,2498,2019,2782,,,,,,,,1621,,,,3675,,,1867,,,,
normal,7,266.0,1164.0,463.0,566.0,337.0,,340.0,291.0,280.0,232.0,318.0,,,,,,,,208.0,,,,238.0,,,225.0,,,,,,2963,5055,4246,5490,2814,,3181,2577,2778,2251,3100,,,,,,,,1829,,,,3913,,,2092,,,,
normal,8,242.0,710.0,375.0,492.0,913.0,,316.0,271.0,238.0,221.0,285.0,,,,,,,,194.0,,,,211.0,146.0,,237.0,,134.0,,,,3205,5765,4621,5982,3727,,3497,2848,3016,2472,3385,,,,,,,,2023,,,,4124,146.0,,2329,,134.0,,
normal,9,256.0,624.0,359.0,538.0,608.0,,300.0,229.0,274.0,205.0,294.0,,,,,,,52.0,209.0,,,,212.0,225.0,,206.0,,237.0,,,,3461,6389,4980,6520,4335,,3797,3077,3290,2677,3679,,,,,,,52.0,2232,,,,4336,371.0,,2535,,371.0,,
