category,hour,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,,累積_2021-08-01,累積_2021-08-02,累積_2021-08-03,累積_2021-08-04,累積_2021-08-05,累積_2021-08-06,累積_2021-08-07,累積_2021-08-08,累積_2021-08-09,累積_2021-08-10,累積_2021-08-11,累積_2021-08-12,累積_2021-08-13,累積_2021-08-14,累積_2021-08-15,累積_2021-08-16,累積_2021-08-17,累積_2021-08-18,累積_2021-08-19
normal,0,,,,,,,,,,,,,,,141.0,,,219.0,,,,,,,,,,,,,,,,,141,,,219,
normal,1,,,137.0,,,,,,,,,,,,423.0,,,252.0,,,,,137.0,,,,,,,,,,,,564,,,471,
normal,2,,,132.0,,,,,,,,,,,,469.0,,,229.0,,,,,269.0,,,,,,,,,,,,1033,,,700,
normal,3,,,145.0,,,,,,,,,,,,263.0,,,214.0,,,,,414.0,,,,,,,,,,,,1296,,,914,
normal,4,,,127.0,,,,,,,,,,,,195.0,95.0,,197.0,,,,,541.0,,,,,,,,,,,,1491,95.0,,1111,
normal,5,,,105.0,,,,,,,,,,,,162.0,163.0,,168.0,,,,,646.0,,,,,,,,,,,,1653,258.0,,1279,
normal,6,,,110.0,,,,,,,,,,,,142.0,179.0,,155.0,,,,,756.0,,,,,,,,,,,,1795,437.0,,1434,
normal,7,,,98.0,,,,,,,,,,,,131.0,200.0,,153.0,,,,,854.0,,,,,,,,,,,,1926,637.0,,1587,
normal,8,,,102.0,,,,,,,,,,,,110.0,152.0,,135.0,,,,,956.0,,,,,,,,,,,,2036,789.0,,1722,
normal,9,,,102.0,,,,,,,,,,,,144.0,163.0,38.0,146.0,,,,,1058.0,,,,,,,,,,,,2180,952.0,38.0,1868,
normal,10,,,102.0,,,,,,,,,,,,139.0,186.0,121.0,185.0,,,,,1160.0,,,,,,,,,,,,2319,1138.0,159.0,2053,
normal,11,,,115.0,,,,,,,,,,,27.0,175.0,284.0,154.0,194.0,,,,,1275.0,,,,,,,,,,,27.0,2494,1422.0,313.0,2247,
normal,12,,,134.0,,,,,,,,22.0,,48.0,156.0,157.0,251.0,200.0,176.0,,,,,1409.0,,,,,,,,22.0,,48.0,183.0,2651,1673.0,513.0,2423,
normal,13,,,127.0,,,,,,,,225.0,,197.0,181.0,176.0,269.0,180.0,199.0,,,,,1536.0,,,,,,,,247.0,,245.0,364.0,2827,1942.0,693.0,2622,
normal,14,,,147.0,,,,,,,,332.0,,199.0,205.0,282.0,240.0,193.0,216.0,,,,,1683.0,,,,,,,,579.0,,444.0,569.0,3109,2182.0,886.0,2838,
normal,15,,,175.0,,,44.0,,117.0,,,339.0,,184.0,360.0,253.0,208.0,223.0,314.0,,,,,1858.0,,,44.0,,117.0,,,918.0,,628.0,929.0,3362,2390.0,1109.0,3152,
normal,16,,,155.0,,,243.0,,209.0,83.0,,280.0,,190.0,228.0,256.0,233.0,198.0,430.0,,,,,2013.0,,,287.0,,326.0,83.0,,1198.0,,818.0,1157.0,3618,2623.0,1307.0,3582,
normal,17,,,210.0,,,190.0,,164.0,181.0,,348.0,,174.0,188.0,211.0,269.0,264.0,300.0,,,,,2223.0,,,477.0,,490.0,264.0,,1546.0,,992.0,1345.0,3829,2892.0,1571.0,3882,
normal,18,,,172.0,,,192.0,194.0,153.0,251.0,76.0,251.0,,145.0,195.0,387.0,207.0,336.0,225.0,,,,,2395.0,,,669.0,194.0,643.0,515.0,76.0,1797.0,,1137.0,1540.0,4216,3099.0,1907.0,4107,
normal,19,,,139.0,15.0,,240.0,291.0,149.0,246.0,138.0,224.0,,136.0,214.0,491.0,236.0,302.0,221.0,,,,,2534.0,15.0,,909.0,485.0,792.0,761.0,214.0,2021.0,,1273.0,1754.0,4707,3335.0,2209.0,4328,
normal,20,,,139.0,141.0,,145.0,242.0,187.0,173.0,185.0,237.0,,203.0,178.0,269.0,276.0,258.0,229.0,156.0,,,,2673.0,156.0,,1054.0,727.0,979.0,934.0,399.0,2258.0,,1476.0,1932.0,4976,3611.0,2467.0,4557,156.0
normal,21,,,135.0,136.0,10.0,125.0,243.0,161.0,186.0,203.0,183.0,73.0,254.0,182.0,414.0,157.0,249.0,236.0,239.0,,,,2808.0,292.0,10.0,1179.0,970.0,1140.0,1120.0,602.0,2441.0,73.0,1730.0,2114.0,5390,3768.0,2716.0,4793,395.0
normal,22,,40.0,140.0,179.0,114.0,130.0,229.0,151.0,229.0,193.0,182.0,129.0,183.0,158.0,607.0,181.0,242.0,202.0,207.0,,,40.0,2948.0,471.0,124.0,1309.0,1199.0,1291.0,1349.0,795.0,2623.0,202.0,1913.0,2272.0,5997,3949.0,2958.0,4995,602.0
normal,23,97.0,178.0,124.0,125.0,182.0,110.0,393.0,134.0,197.0,135.0,160.0,124.0,195.0,148.0,318.0,224.0,248.0,235.0,223.0,,97.0,218.0,3072.0,596.0,306.0,1419.0,1592.0,1425.0,1546.0,930.0,2783.0,326.0,2108.0,2420.0,6315,4173.0,3206.0,5230,825.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robot,0,,,,,,,,,,,,,,,10.0,,,10.0,,,,,,,,,,,,,,,,,10,,,10,
robot,1,,,7.0,,,,,,,,,,,,10.0,,,15.0,,,,,7.0,,,,,,,,,,,,20,,,25,
robot,2,,,26.0,,,,,,,,,,,,11.0,,,9.0,,,,,33.0,,,,,,,,,,,,31,,,34,
robot,3,,,19.0,,,,,,,,,,,,8.0,,,6.0,,,,,52.0,,,,,,,,,,,,39,,,40,
robot,4,,,8.0,,,,,,,,,,,,12.0,5.0,,8.0,,,,,60.0,,,,,,,,,,,,51,5.0,,48,
robot,5,,,13.0,,,,,,,,,,,,9.0,8.0,,7.0,,,,,73.0,,,,,,,,,,,,60,13.0,,55,
robot,6,,,15.0,,,,,,,,,,,,11.0,10.0,,7.0,,,,,88.0,,,,,,,,,,,,71,23.0,,62,
