category,hour,2024-02-25,2024-02-26,2024-02-27,2024-02-28,2024-02-29,,累積_2024-02-25,累積_2024-02-26,累積_2024-02-27,累積_2024-02-28,累積_2024-02-29
normal,0,,,72.0,,89.0,,,,72,,89
normal,1,,,53.0,,78.0,,,,125,,167
normal,2,,,77.0,,79.0,,,,202,,246
normal,3,,,82.0,,157.0,,,,284,,403
normal,4,,,68.0,,188.0,,,,352,,591
normal,5,,,49.0,,208.0,,,,401,,799
normal,6,,,71.0,,167.0,,,,472,,966
normal,7,,,47.0,,131.0,,,,519,,1097
normal,8,,,66.0,,133.0,,,,585,,1230
normal,9,,,76.0,,98.0,,,,661,,1328
normal,10,12.0,,75.0,,115.0,,12.0,,736,,1443
normal,11,56.0,,64.0,45.0,140.0,,68.0,,800,45.0,1583
normal,12,62.0,,86.0,101.0,128.0,,130.0,,886,146.0,1711
normal,13,44.0,,95.0,92.0,131.0,,174.0,,981,238.0,1842
normal,14,50.0,,74.0,110.0,114.0,,224.0,,1055,348.0,1956
normal,15,45.0,43.0,92.0,106.0,163.0,,269.0,43.0,1147,454.0,2119
normal,16,60.0,74.0,110.0,338.0,123.0,,329.0,117.0,1257,792.0,2242
normal,17,50.0,64.0,81.0,408.0,112.0,,379.0,181.0,1338,1200.0,2354
normal,18,58.0,105.0,71.0,168.0,106.0,,437.0,286.0,1409,1368.0,2460
normal,19,60.0,86.0,89.0,152.0,77.0,,497.0,372.0,1498,1520.0,2537
normal,20,53.0,71.0,101.0,132.0,98.0,,550.0,443.0,1599,1652.0,2635
normal,21,35.0,70.0,59.0,135.0,57.0,,585.0,513.0,1658,1787.0,2692
normal,22,55.0,48.0,66.0,157.0,72.0,,640.0,561.0,1724,1944.0,2764
normal,23,41.0,67.0,70.0,126.0,64.0,,681.0,628.0,1794,2070.0,2828
,,,,,,,,,,,,
spammer,0,,,15.0,,31.0,,,,15,,31
spammer,1,,,13.0,,17.0,,,,28,,48
spammer,2,,,35.0,,30.0,,,,63,,78
spammer,3,,,22.0,,18.0,,,,85,,96
spammer,4,,,6.0,,35.0,,,,91,,131
spammer,5,,,24.0,,28.0,,,,115,,159
spammer,6,,,12.0,,48.0,,,,127,,207
spammer,7,,,34.0,,31.0,,,,161,,238
spammer,8,,,10.0,,25.0,,,,171,,263
spammer,9,,,33.0,,13.0,,,,204,,276
spammer,10,3.0,,31.0,,17.0,,3.0,,235,,293
spammer,11,3.0,,44.0,2.0,20.0,,6.0,,279,2.0,313
spammer,12,11.0,,26.0,11.0,12.0,,17.0,,305,13.0,325
spammer,13,9.0,,44.0,24.0,34.0,,26.0,,349,37.0,359
spammer,14,1.0,,27.0,27.0,38.0,,27.0,,376,64.0,397
spammer,15,13.0,9.0,46.0,60.0,30.0,,40.0,9.0,422,124.0,427
spammer,16,17.0,22.0,28.0,84.0,24.0,,57.0,31.0,450,208.0,451
spammer,17,12.0,20.0,14.0,61.0,12.0,,69.0,51.0,464,269.0,463
spammer,18,10.0,11.0,24.0,33.0,22.0,,79.0,62.0,488,302.0,485
spammer,19,8.0,19.0,31.0,44.0,22.0,,87.0,81.0,519,346.0,507
spammer,20,8.0,28.0,41.0,28.0,10.0,,95.0,109.0,560,374.0,517
spammer,21,9.0,24.0,24.0,44.0,17.0,,104.0,133.0,584,418.0,534
spammer,22,7.0,10.0,13.0,63.0,24.0,,111.0,143.0,597,481.0,558
spammer,23,9.0,10.0,64.0,41.0,12.0,,120.0,153.0,661,522.0,570
,,,,,,,,,,,,
