category,hour,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,,累積_2024-03-01,累積_2024-03-02,累積_2024-03-03,累積_2024-03-04,累積_2024-03-05,累積_2024-03-06
normal,0,70.0,,63.0,,,,,70.0,,63,,,
normal,1,68.0,3.0,59.0,,,,,138.0,3.0,122,,,
normal,2,65.0,106.0,63.0,,,,,203.0,109.0,185,,,
normal,3,38.0,141.0,55.0,,,,,241.0,250.0,240,,,
normal,4,52.0,83.0,52.0,,,,,293.0,333.0,292,,,
normal,5,59.0,100.0,37.0,,,,,352.0,433.0,329,,,
normal,6,72.0,74.0,43.0,,,,,424.0,507.0,372,,,
normal,7,45.0,67.0,40.0,,,,,469.0,574.0,412,,,
normal,8,56.0,96.0,34.0,,,,,525.0,670.0,446,,,
normal,9,64.0,93.0,37.0,,,,,589.0,763.0,483,,,
normal,10,84.0,90.0,68.0,,,,,673.0,853.0,551,,,
normal,11,74.0,107.0,76.0,,,,,747.0,960.0,627,,,
normal,12,66.0,77.0,95.0,,,,,813.0,1037.0,722,,,
normal,13,105.0,70.0,80.0,,,,,918.0,1107.0,802,,,
normal,14,100.0,102.0,89.0,,,,,1018.0,1209.0,891,,,
normal,15,91.0,94.0,118.0,,29.0,,,1109.0,1303.0,1009,,29.0,
normal,16,100.0,91.0,88.0,,171.0,,,1209.0,1394.0,1097,,200.0,
normal,17,119.0,102.0,79.0,,146.0,,,1328.0,1496.0,1176,,346.0,
normal,18,165.0,108.0,129.0,,126.0,,,1493.0,1604.0,1305,,472.0,
normal,19,116.0,70.0,168.0,48.0,122.0,,,1609.0,1674.0,1473,48.0,594.0,
normal,20,166.0,64.0,166.0,166.0,154.0,,,1775.0,1738.0,1639,214.0,748.0,
normal,21,151.0,77.0,121.0,124.0,101.0,,,1926.0,1815.0,1760,338.0,849.0,
normal,22,249.0,67.0,100.0,141.0,72.0,,,2175.0,1882.0,1860,479.0,921.0,
normal,23,145.0,83.0,113.0,136.0,90.0,16.0,,2320.0,1965.0,1973,615.0,1011.0,16.0
,,,,,,,,,,,,,,
robot,1,,,6.0,,,,,,,6,,,
robot,2,,,0.0,,,,,,,6,,,
robot,3,,,0.0,,,,,,,6,,,
robot,4,,,0.0,,,,,,,6,,,
robot,5,,,0.0,,,,,,,6,,,
robot,6,,,0.0,,,,,,,6,,,
robot,7,,,0.0,,,,,,,6,,,
robot,8,,,0.0,,,,,,,6,,,
robot,9,,,0.0,,,,,,,6,,,
robot,10,,,0.0,,,,,,,6,,,
robot,11,,,0.0,,,,,,,6,,,
robot,12,,,0.0,,,,,,,6,,,
robot,13,,,0.0,,,,,,,6,,,
robot,14,,,0.0,,,,,,,6,,,
robot,15,,,0.0,,,,,,,6,,,
robot,16,,,0.0,,,,,,,6,,,
robot,17,,,0.0,,,,,,,6,,,
robot,18,,,0.0,,,,,,,6,,,
robot,19,,,0.0,,,,,,,6,,,
robot,20,,,0.0,,,,,,,6,,,
robot,21,,,0.0,,,,,,,6,,,
robot,22,,,0.0,,,,,,,6,,,
robot,23,,,0.0,,,,,,,6,,,
,,,,,,,,,,,,,,
spammer,0,21.0,,12.0,,,,,21.0,,12,,,
spammer,1,18.0,,17.0,,,,,39.0,,29,,,
spammer,2,9.0,10.0,9.0,,,,,48.0,10.0,38,,,
spammer,3,16.0,9.0,15.0,,,,,64.0,19.0,53,,,
spammer,4,9.0,6.0,12.0,,,,,73.0,25.0,65,,,
spammer,5,14.0,9.0,29.0,,,,,87.0,34.0,94,,,
spammer,6,6.0,5.0,4.0,,,,,93.0,39.0,98,,,
spammer,7,20.0,25.0,8.0,,,,,113.0,64.0,106,,,
spammer,8,9.0,6.0,9.0,,,,,122.0,70.0,115,,,
spammer,9,23.0,16.0,7.0,,,,,145.0,86.0,122,,,
spammer,10,14.0,9.0,15.0,,,,,159.0,95.0,137,,,
spammer,11,12.0,12.0,5.0,,,,,171.0,107.0,142,,,
spammer,12,18.0,14.0,13.0,,,,,189.0,121.0,155,,,
spammer,13,8.0,9.0,21.0,,,,,197.0,130.0,176,,,
spammer,14,14.0,16.0,5.0,,,,,211.0,146.0,181,,,
spammer,15,9.0,18.0,18.0,,5.0,,,220.0,164.0,199,,5.0,
spammer,16,27.0,15.0,17.0,,35.0,,,247.0,179.0,216,,40.0,
spammer,17,17.0,11.0,7.0,,31.0,,,264.0,190.0,223,,71.0,
spammer,18,43.0,15.0,16.0,,23.0,,,307.0,205.0,239,,94.0,
spammer,19,30.0,17.0,77.0,8.0,25.0,,,337.0,222.0,316,8.0,119.0,
spammer,20,28.0,9.0,15.0,22.0,42.0,,,365.0,231.0,331,30.0,161.0,
spammer,21,30.0,11.0,16.0,26.0,9.0,,,395.0,242.0,347,56.0,170.0,
spammer,22,62.0,11.0,13.0,9.0,2.0,,,457.0,253.0,360,65.0,172.0,
spammer,23,42.0,13.0,7.0,14.0,2.0,,,499.0,266.0,367,79.0,174.0,
,,,,,,,,,,,,,,
