category,hour,2024-11-06,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,2024-11-16,2024-11-17,,累積_2024-11-06,累積_2024-11-07,累積_2024-11-08,累積_2024-11-09,累積_2024-11-10,累積_2024-11-11,累積_2024-11-12,累積_2024-11-13,累積_2024-11-14,累積_2024-11-15,累積_2024-11-16,累積_2024-11-17
normal,0,173.0,164.0,225.0,186.0,182.0,250.0,409.0,469.0,380.0,246.0,213.0,,,173.0,164,225.0,186.0,182.0,250.0,409,469.0,380.0,246.0,213.0,
normal,1,177.0,151.0,203.0,206.0,171.0,317.0,458.0,930.0,310.0,203.0,141.0,,,350.0,315,428.0,392.0,353.0,567.0,867,1399.0,690.0,449.0,354.0,
normal,2,298.0,139.0,178.0,235.0,225.0,293.0,346.0,869.0,259.0,242.0,137.0,,,648.0,454,606.0,627.0,578.0,860.0,1213,2268.0,949.0,691.0,491.0,
normal,3,604.0,106.0,99.0,234.0,169.0,303.0,263.0,697.0,220.0,203.0,236.0,,,1252.0,560,705.0,861.0,747.0,1163.0,1476,2965.0,1169.0,894.0,727.0,
normal,4,408.0,101.0,113.0,267.0,175.0,250.0,610.0,492.0,257.0,179.0,294.0,,,1660.0,661,818.0,1128.0,922.0,1413.0,2086,3457.0,1426.0,1073.0,1021.0,
normal,5,311.0,100.0,132.0,262.0,151.0,212.0,694.0,387.0,450.0,233.0,133.0,,,1971.0,761,950.0,1390.0,1073.0,1625.0,2780,3844.0,1876.0,1306.0,1154.0,
normal,6,321.0,121.0,102.0,263.0,118.0,188.0,543.0,382.0,397.0,360.0,269.0,,,2292.0,882,1052.0,1653.0,1191.0,1813.0,3323,4226.0,2273.0,1666.0,1423.0,
normal,7,244.0,119.0,91.0,245.0,119.0,205.0,547.0,415.0,316.0,296.0,175.0,,,2536.0,1001,1143.0,1898.0,1310.0,2018.0,3870,4641.0,2589.0,1962.0,1598.0,
normal,8,177.0,102.0,107.0,232.0,140.0,190.0,427.0,416.0,318.0,285.0,163.0,,,2713.0,1103,1250.0,2130.0,1450.0,2208.0,4297,5057.0,2907.0,2247.0,1761.0,
normal,9,163.0,116.0,82.0,193.0,130.0,185.0,388.0,312.0,258.0,226.0,194.0,,,2876.0,1219,1332.0,2323.0,1580.0,2393.0,4685,5369.0,3165.0,2473.0,1955.0,
normal,10,151.0,87.0,70.0,142.0,132.0,183.0,339.0,384.0,250.0,170.0,152.0,,,3027.0,1306,1402.0,2465.0,1712.0,2576.0,5024,5753.0,3415.0,2643.0,2107.0,
normal,11,162.0,97.0,97.0,174.0,226.0,205.0,309.0,386.0,252.0,224.0,157.0,,,3189.0,1403,1499.0,2639.0,1938.0,2781.0,5333,6139.0,3667.0,2867.0,2264.0,
normal,12,182.0,90.0,114.0,191.0,194.0,226.0,414.0,430.0,322.0,231.0,224.0,,,3371.0,1493,1613.0,2830.0,2132.0,3007.0,5747,6569.0,3989.0,3098.0,2488.0,
normal,13,215.0,198.0,160.0,184.0,273.0,264.0,418.0,513.0,398.0,327.0,246.0,,,3586.0,1691,1773.0,3014.0,2405.0,3271.0,6165,7082.0,4387.0,3425.0,2734.0,
normal,14,230.0,176.0,180.0,260.0,309.0,193.0,478.0,565.0,519.0,298.0,263.0,,,3816.0,1867,1953.0,3274.0,2714.0,3464.0,6643,7647.0,4906.0,3723.0,2997.0,
normal,15,234.0,156.0,164.0,210.0,261.0,456.0,383.0,771.0,461.0,416.0,236.0,,,4050.0,2023,2117.0,3484.0,2975.0,3920.0,7026,8418.0,5367.0,4139.0,3233.0,
normal,16,219.0,204.0,158.0,201.0,459.0,567.0,457.0,755.0,487.0,423.0,249.0,,,4269.0,2227,2275.0,3685.0,3434.0,4487.0,7483,9173.0,5854.0,4562.0,3482.0,
normal,17,189.0,207.0,244.0,167.0,401.0,449.0,375.0,630.0,587.0,348.0,209.0,,,4458.0,2434,2519.0,3852.0,3835.0,4936.0,7858,9803.0,6441.0,4910.0,3691.0,
normal,18,300.0,256.0,233.0,144.0,548.0,426.0,371.0,486.0,449.0,277.0,219.0,,,4758.0,2690,2752.0,3996.0,4383.0,5362.0,8229,10289.0,6890.0,5187.0,3910.0,
normal,19,536.0,454.0,273.0,148.0,519.0,331.0,390.0,475.0,373.0,224.0,231.0,,,5294.0,3144,3025.0,4144.0,4902.0,5693.0,8619,10764.0,7263.0,5411.0,4141.0,
normal,20,291.0,631.0,250.0,119.0,310.0,314.0,360.0,428.0,346.0,206.0,196.0,57.0,,5585.0,3775,3275.0,4263.0,5212.0,6007.0,8979,11192.0,7609.0,5617.0,4337.0,57.0
normal,21,206.0,790.0,278.0,152.0,252.0,370.0,323.0,365.0,288.0,226.0,208.0,163.0,,5791.0,4565,3553.0,4415.0,5464.0,6377.0,9302,11557.0,7897.0,5843.0,4545.0,220.0
normal,22,169.0,534.0,259.0,162.0,217.0,395.0,270.0,283.0,273.0,207.0,184.0,128.0,,5960.0,5099,3812.0,4577.0,5681.0,6772.0,9572,11840.0,8170.0,6050.0,4729.0,348.0
normal,23,124.0,311.0,235.0,195.0,220.0,492.0,247.0,365.0,251.0,211.0,179.0,121.0,,6084.0,5410,4047.0,4772.0,5901.0,7264.0,9819,12205.0,8421.0,6261.0,4908.0,469.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
robot,0,,4.0,,,,,2.0,,,,,,,,4,,,,,2,,,,,
robot,1,,0.0,,,,,8.0,,,,,,,,4,,,,,10,,,,,
robot,2,,0.0,,,,,0.0,,,,,,,,4,,,,,10,,,,,
robot,3,,0.0,,,,,0.0,23.0,,,,,,,4,,,,,10,23.0,,,,
robot,4,,0.0,,,,,0.0,0.0,,,,,,,4,,,,,10,23.0,,,,
robot,5,,0.0,,,,,0.0,0.0,,,,,,,4,,,,,10,23.0,,,,
robot,6,,0.0,,,,,0.0,1.0,,,,,,,4,,,,,10,24.0,,,,
robot,7,,0.0,,,,,0.0,9.0,,,,,,,4,,,,,10,33.0,,,,
robot,8,,0.0,,,,,0.0,5.0,,,7.0,,,,4,,,,,10,38.0,,,7.0,
robot,9,,0.0,,,,,0.0,1.0,2.0,,0.0,,,,4,,,,,10,39.0,2.0,,7.0,
robot,10,,0.0,,,,,0.0,0.0,3.0,,0.0,,,,4,,,,,10,39.0,5.0,,7.0,
robot,11,,0.0,,,,,0.0,0.0,4.0,,0.0,,,,4,,,,,10,39.0,9.0,,7.0,
robot,12,,0.0,,,,,0.0,1.0,5.0,,0.0,,,,4,,,,,10,40.0,14.0,,7.0,
robot,13,2.0,0.0,,,,,0.0,1.0,8.0,,0.0,,,2.0,4,,,,,10,41.0,22.0,,7.0,
robot,14,0.0,0.0,,,,,0.0,1.0,9.0,,0.0,,,2.0,4,,,,,10,42.0,31.0,,7.0,
robot,15,0.0,0.0,,,,,0.0,2.0,0.0,,0.0,,,2.0,4,,,,,10,44.0,31.0,,7.0,
