category,hour,3/1/2025,3/2/2025,3/3/2025,3/4/2025,3/5/2025,3/6/2025,3/7/2025,3/8/2025,3/9/2025,3/10/2025,3/11/2025,3/12/2025,3/14/2025,3/15/2025,3/16/2025,3/17/2025,3/18/2025,3/19/2025,3/20/2025,3/21/2025,3/22/2025,,累積_2025-03-01,累積_2025-03-02,累積_2025-03-03,累積_2025-03-04,累積_2025-03-05,累積_2025-03-06,累積_2025-03-07,累積_2025-03-08,累積_2025-03-09,累積_2025-03-10,累積_2025-03-11,累積_2025-03-12,累積_2025-03-14,累積_2025-03-15,累積_2025-03-16,累積_2025-03-17,累積_2025-03-18,累積_2025-03-19,累積_2025-03-20,累積_2025-03-21,累積_2025-03-22
normal,0,,101,112,,93,86,111,115,77,95,89,93,,72,79,72,20,,82,,,,,101,112,,93,86,111,115,77,95,89,93,,72,79,72,20,,82,,
normal,1,,58,134,,107,103,110,103,54,96,104,133,,77,96,89,90,,86,,,,,159,246,,200,189,221,218,131,191,193,226,,149,175,161,110,,168,,
normal,2,,62,128,,91,109,88,66,77,97,99,91,,90,69,56,63,,71,,,,,221,374,,291,298,309,284,208,288,292,317,,239,244,217,173,,239,,
normal,3,,114,103,,106,111,82,90,103,101,76,79,,90,95,63,65,,83,,,,,335,477,,397,409,391,374,311,389,368,396,,329,339,280,238,,322,,
normal,4,,66,81,,104,92,85,78,97,78,71,89,,167,57,42,31,,57,,,,,401,558,,501,501,476,452,408,467,439,485,,496,396,322,269,,379,,
normal,5,,54,64,,103,96,60,59,66,119,85,91,,110,62,35,40,,55,,,,,455,622,,604,597,536,511,474,586,524,576,,606,458,357,309,,434,,
normal,6,,95,79,,97,92,74,64,55,107,96,90,,79,91,61,49,,79,,,,,550,701,,701,689,610,575,529,693,620,666,,685,549,418,358,,513,,
normal,7,,52,69,,102,97,94,65,71,93,70,78,,73,59,57,48,,68,,,,,602,770,,803,786,704,640,600,786,690,744,,758,608,475,406,,581,,
normal,8,,52,76,,103,108,72,57,55,110,64,76,,72,63,53,51,,52,,,,,654,846,,906,894,776,697,655,896,754,820,,830,671,528,457,,633,,
normal,9,,67,64,,105,115,99,81,65,75,81,94,,67,59,81,54,20,71,,,,,721,910,,1011,1009,875,778,720,971,835,914,,897,730,609,511,20,704,,
normal,10,,49,74,,109,101,94,45,62,72,81,75,,92,69,64,68,58,59,,,,,770,984,,1120,1110,969,823,782,1043,916,989,,989,799,673,579,78,763,,
normal,11,,67,98,,127,108,87,78,70,110,84,93,,84,104,52,92,82,84,,,,,837,1082,,1247,1218,1056,901,852,1153,1000,1082,,1073,903,725,671,160,847,,
normal,12,,83,193,,98,81,126,100,108,94,100,100,42,94,169,82,73,81,72,,,,,920,1275,,1345,1299,1182,1001,960,1247,1100,1182,42,1167,1072,807,744,241,919,,
normal,13,,115,164,,94,110,148,112,105,82,103,89,115,105,192,89,95,149,100,55,,,,1035,1439,,1439,1409,1330,1113,1065,1329,1203,1271,157,1272,1264,896,839,390,1019,55,
normal,14,,131,190,,130,110,157,91,144,86,105,95,102,160,114,108,84,200,115,102,,,,1166,1629,,1569,1519,1487,1204,1209,1415,1308,1366,259,1432,1378,1004,923,590,1134,157,
normal,15,,159,191,,101,157,145,89,133,46,125,114,95,135,100,106,84,150,112,144,,,,1325,1820,,1670,1676,1632,1293,1342,1461,1433,1480,354,1567,1478,1110,1007,740,1246,301,
normal,16,,246,153,,129,114,155,103,157,50,131,113,110,94,83,171,101,127,116,116,,,,1571,1973,,1799,1790,1787,1396,1499,1511,1564,1593,464,1661,1561,1281,1108,867,1362,417,
normal,17,,471,144,,111,157,122,85,150,109,121,88,99,86,91,127,101,93,102,92,,,,2042,2117,,1910,1947,1909,1481,1649,1620,1685,1681,563,1747,1652,1408,1209,960,1464,509,
normal,18,,238,137,6,110,128,120,75,147,132,137,102,94,86,87,120,104,85,98,86,,,,2280,2254,6,2020,2075,2029,1556,1796,1752,1822,1783,657,1833,1739,1528,1313,1045,1562,595,
normal,19,29,230,166,146,117,115,112,64,129,113,118,113,134,106,85,98,100,90,66,81,,,29,2510,2420,152,2137,2190,2141,1620,1925,1865,1940,1896,791,1939,1824,1626,1413,1135,1628,676,
normal,20,109,187,146,109,126,104,96,67,129,114,113,83,84,114,89,85,85,99,82,71,,,138,2697,2566,261,2263,2294,2237,1687,2054,1979,2053,1979,875,2053,1913,1711,1498,1234,1710,747,
normal,21,76,147,322,137,147,128,140,84,139,107,109,90,94,103,86,73,82,86,80,90,,,214,2844,2888,398,2410,2422,2377,1771,2193,2086,2162,2069,969,2156,1999,1784,1580,1320,1790,837,
normal,22,72,131,191,121,117,115,148,83,132,75,105,91,82,89,63,83,61,128,88,70,,,286,2975,3079,519,2527,2537,2525,1854,2325,2161,2267,2160,1051,2245,2062,1867,1641,1448,1878,907,
normal,23,49,136,153,91,97,99,108,60,100,84,79,66,79,76,61,74,73,83,66,62,48,,335,3111,3232,610,2624,2636,2633,1914,2425,2245,2346,2226,1130,2321,2123,1941,1714,1531,1944,969,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robot,0,,,,,,,6,,2,,2,5,,5,15,3,,,,,,,,,,,,,6,,2,,2,5,,5,15,3,,,,,
robot,1,,2,2,,,,0,2,0,,0,0,,3,0,3,2,,,,,,,2,2,,,,6,2,2,,2,5,,8,15,6,2,,,,
robot,2,,3,3,,3,2,71,0,0,,0,5,,2,0,3,0,,3,,,,,5,5,,3,2,77,2,2,,2,10,,10,15,9,2,,3,,
