Date,Unique Authors,Tweet Count,Authors With Multiple Posts,Authors Posting 1 Time,Authors Posting 2 Times,Authors Posting 3 Times,Authors Posting 4 Times,Authors Posting 5 Times,Authors Posting 6 Times,Authors Posting 7 Times,Authors Posting 8 Times,Authors Posting 9 Times,Authors Posting 10 Times,Authors Posting 11 Times,Authors Posting 12 Times,Authors Posting 13 Times,Authors Posting 14 Times,Authors Posting 15 Times,Authors Posting 16 Times,Authors Posting 17 Times,Authors Posting 18 Times,Authors Posting 19 Times,Authors Posting 20 Times,Authors Posting 21 Times,Authors Posting 22 Times,Authors Posting 23 Times,Authors Posting 24 Times,Authors Posting 25 Times,Authors Posting 26 Times,Authors Posting 27 Times,Authors Posting 28 Times,Authors Posting 29 Times,Authors Posting 30 Times,Authors Posting 31 Times,Authors Posting 32 Times,Authors Posting 33 Times,Authors Posting 34 Times,Authors Posting 35 Times,Authors Posting 36 Times,Authors Posting 37 Times,Authors Posting 38 Times,Authors Posting 39 Times,Authors Posting 40 Times,Authors Posting 41 Times,Authors Posting 42 Times,Authors Posting 43 Times,Authors Posting 44 Times,Authors Posting 45 Times,Authors Posting 46 Times,Authors Posting 47 Times,Authors Posting 48 Times,Authors Posting 49 Times,Authors Posting 50 Times,Authors Posting 51 Times,Authors Posting 52 Times,Authors Posting 53 Times,Authors Posting 54 Times,Authors Posting 55 Times,Authors Posting 56 Times,Authors Posting 57 Times,Authors Posting 59 Times,Authors Posting 60 Times,Authors Posting 61 Times,Authors Posting 63 Times,Authors Posting 64 Times,Authors Posting 65 Times,Authors Posting 67 Times,Authors Posting 71 Times,Authors Posting 73 Times,Authors Posting 74 Times,Authors Posting 76 Times,Authors Posting 77 Times,Authors Posting 78 Times,Authors Posting 81 Times,Authors Posting 82 Times,Authors Posting 83 Times,Authors Posting 86 Times,Authors Posting 87 Times,Authors Posting 88 Times,Authors Posting 91 Times,Authors Posting 92 Times,Authors Posting 93 Times,Authors Posting 94 Times,Authors Posting 97 Times,Authors Posting 101 Times,Authors Posting 107 Times,Authors Posting 108 Times,Authors Posting 110 Times,Authors Posting 111 Times,Authors Posting 112 Times,Authors Posting 119 Times,Authors Posting 134 Times,Authors Posting 143 Times,Authors Posting 145 Times,Authors Posting 153 Times,Authors Posting 156 Times,Authors Posting 160 Times,Authors Posting 162 Times,Authors Posting 175 Times,Authors Posting 178 Times,Authors Posting 205 Times,Authors Posting 207 Times,Authors Posting 208 Times,Authors Posting 212 Times,Authors Posting 214 Times,Authors Posting 236 Times,Authors Posting 264 Times,Authors Posting 292 Times,Authors Posting 336 Times,Authors Posting 346 Times,Authors Posting 509 Times,Authors Posting 586 Times,Authors Posting 632 Times,Authors Posting 696 Times,Authors Posting 721 Times,Authors Posting 853 Times,Authors Posting 874 Times,Authors Posting 1004 Times,Authors Posting 1073 Times,Authors Posting 1170 Times
2021-04-12,2296,4985,531,1765,263,92,55,17,22,12,11,7,9,2,6,1,2,4,2,0,2,2,1,2,2,5,0,1,1,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021-04-13,8654,16228,2007,6647,986,362,192,122,75,42,37,26,23,16,24,9,12,9,5,5,11,5,4,6,4,2,2,1,1,2,1,1,1,2,0,1,1,1,0,0,0,1,1,2,0,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021-04-14_Laetst23795,13938,23795,3013,10925,1582,586,240,159,94,66,50,35,31,29,13,15,12,16,4,8,10,8,5,4,6,0,4,2,3,4,1,5,2,1,0,0,0,1,3,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-04-15_Latest25940,15437,25940,3176,12261,1679,586,277,154,87,79,66,31,26,27,23,19,13,10,15,9,6,7,10,4,8,3,5,2,1,2,1,0,3,1,1,0,2,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021-04-16_Latest11037,7741,11037,1392,6349,802,244,134,68,40,24,21,16,11,7,2,3,2,3,2,2,3,0,0,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-17_Latest463,383,463,39,344,22,7,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-18_Latest21553,11074,21553,2938,8136,1464,518,284,167,111,75,53,48,31,27,15,20,11,11,12,5,6,4,6,5,7,6,5,2,2,4,2,1,4,0,1,1,2,1,1,4,0,0,1,2,0,0,1,1,0,0,1,2,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-19_Latest5173,3545,5173,673,2872,398,119,57,29,25,13,4,5,3,2,5,4,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-20_Latest37310,19398,37310,4943,14455,2457,912,441,283,186,132,110,59,40,46,39,25,21,24,16,13,14,10,8,8,8,8,10,4,3,5,1,5,3,4,5,3,5,1,2,1,1,2,1,1,1,1,0,0,0,2,0,2,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021-04-21_Latest3160,1990,3160,418,1572,246,71,36,19,14,7,3,3,3,2,1,0,1,0,3,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
